@relation trainset-weka.filters.unsupervised.attribute.NumericToNominal-R9-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute fromout numeric
@attribute fromin numeric
@attribute toout numeric
@attribute toin numeric
@attribute width numeric
@attribute exist {0,1}

@data
1,72,0,268,0,1
211,27,0,132,2,1
76,2,0,67,1,1
42,9,0,1,0,1
1,8,0,3,0,1
67,65,316,798,29,1
110,31,0,1,0,1
44,9,11430,719,6,1
440,57,865,170,14,1
330,61,0,70,35,1
43,44,14576,2084,18,1
68,3,0,7,0,1
33,3,0,2,0,1
280,17,76,551,2,1
243,19,0,54,3,1
231,33,0,3,1,1
393,63,0,13,6,1
131,15,0,1,0,1
4061,204,0,1,0,1
48,8,29,6,3,1
142,25,0,122,3,1
1,4,0,1,0,1
4,1,0,2,0,1
193,40,0,27,1,1
10,1,0,12,0,1
7,219,0,79,0,1
262,54,0,3,0,1
77,3,0,1,0,1
42,29,100,2098,3,1
880,119,0,128,13,1
765,54,0,1209,19,1
97,5,0,2,0,1
221,30,0,51,0,1
80,29,14,317,8,1
1293,205,394,163,35,1
48,15,170,204,9,1
438,31,0,100,4,1
92,11,0,16,0,1
284,103,0,550,12,1
37,2,16616,1743,1,1
288,23,0,6,0,1
932,97,0,76,18,1
184,28,0,34,0,1
3,3035,0,31,1,1
1270,115,0,45,7,1
1670,97,0,143,35,1
960,159,0,10,4,1
144,8,0,3,0,1
37112,614,0,45,19,1
48,9,0,361,0,1
342,48,517,109,7,1
0,10,0,0,0,0
1779,69,0,4,0,1
141,5,0,26,1,1
3964,112,0,156,91,1
59,5,0,251,0,1
1168,6,0,7,0,1
1,1,0,17,0,1
127,246,0,39,15,1
120,12,0,2,0,1
21,30,49,51,12,1
210,99,0,1,0,1
11,30,9,95,3,1
216,31,14,317,12,1
271,65,0,37,5,1
40,5,0,115,1,1
45,3,246,330,8,1
1079,138,0,14,9,1
90,26,329,1648,29,1
302,103,0,83,13,1
50,17,0,14,4,1
166,39,11757,1505,20,1
815,52,0,49,3,1
438,30,0,10,2,1
67,9,0,4,0,1
539,105,109,323,44,1
40,8,605,122,0,1
16,9,822,210,3,1
110,262,131,151,16,1
1,2,1337,144,0,1
1092,376,0,6,2,1
724,36,10650,463,12,1
223,21,690,2605,6,1
7871,131,0,720,72,1
28,4,0,41,0,1
1479,99,0,538,22,1
266,55,0,2,0,1
542,19,0,19,0,1
9,2,474,40,0,1
4892,235,0,63,13,1
202,42,0,1,0,1
547,146,26349,1180,114,1
44,12,53,19,7,1
3040,146,0,521,93,1
225,38,0,70,1,1
42,132,389,757,3,1
2268,41,0,32,5,1
38,15,0,3,0,1
397,22,0,83,8,1
74,11,0,32,0,1
72,33,0,2,1,1
319,21,0,1,0,1
3703,111,5074,219,71,1
295,50,0,5,0,1
179,15,0,69,0,1
223,17,0,4,2,1
101,1,0,89,1,1
245,56,0,2,0,1
18,17,0,6,0,1
38,8,389,96,7,1
50,8,0,1,0,1
58,6,16616,1743,0,1
3104,146,0,922,80,1
4,9,0,1,0,1
48,4,104,588,1,1
689,65,0,7,3,1
5074,219,0,3,0,1
116,5,0,3,0,1
11,9,0,3,0,1
403,48,0,74,1,1
68,19,0,2,1,1
254,46,0,25,2,1
95,42,38778,1131,19,1
57,5,0,5,2,1
6,2,124,1789,1,1
42,23,359,282,4,1
1,2,764195,4841,0,1
625,145,0,77,3,1
71,5,0,2,0,1
528,55,0,121,7,1
6434,104,0,2,0,1
0,4,0,0,0,0
188,128,13,127,31,1
1750,154,0,61,23,1
47,13,0,2,0,1
280,55,0,3,1,1
16,19,0,9,0,1
0,42,0,0,0,0
56,10,0,1,0,1
972,42,244,109,25,1
40,16,20451,751,13,1
265,13,0,4,0,1
130,48,0,33,4,1
10,2,0,1,0,1
221,56,57,903,23,1
463,9,0,2,1,1
325,151,0,201,0,1
964,263,0,45,12,1
1462,273,0,37,19,1
61,29,0,1,0,1
34,93,191,83,6,1
838,60,0,27,4,1
14,147,175,220,12,1
111,11,0,2,0,1
52,14,0,7,2,1
3937,105,0,94,52,1
733,172,1909,401,62,1
15,11,0,5,0,1
74,50,0,5,1,1
2493,233,0,28,10,1
254,294,0,48,9,1
180,46,0,18,7,1
208,602,512,282,94,1
148,9,0,1,0,1
15,1,0,1,0,1
42,5,0,1,0,1
32,1,319,165,0,1
27,3,59,239,0,1
30,4,0,48,0,1
70,8,0,1,0,1
737,69,0,2,0,1
121,20,0,1,0,1
58,31,199,62,13,1
1876,267,0,1,0,1
30,10,4519,2239,4,1
218,78,0,89,14,1
470,44,0,19,1,1
144,11,0,20,1,1
105,35,0,63,1,1
594,54,0,78,4,1
240,123,223,267,53,1
2,4,118,27,0,1
155,84,0,608,6,1
3486,418,0,63,17,1
790,71,0,15,6,1
2001,48,0,10,1,1
39,7,0,9,1,1
1162,49,0,17,5,1
22,2,0,3,1,1
29,4,0,23,0,1
184,42,295,65,12,1
16331,451,0,383,121,1
3138,132,0,2,0,1
1055,112,0,31,6,1
183,28,73,140,15,1
225,26,504,171,1,1
175,4,0,14,0,1
19,2,0,10,1,1
969,196,151,365,91,1
79,3,0,3,0,1
447,279,0,27,4,1
450,66,0,8,3,1
109,3,0,5,0,1
68,15,0,21,6,1
2601,161,0,298,22,1
48,4,18,3654,10,1
407,75,301,111,10,1
1790,18,0,9,2,1
41,18,18,96,5,1
8,2,16,555,0,1
141,28,0,4,3,1
49,21,0,107,2,1
59,239,175,167,5,1
415,70,1546,143,10,1
141,5,0,40,3,1
5,14,21104,1820,3,1
669,75,0,52,3,1
33,9,0,3,0,1
61,24,43,41,20,1
1153,291,0,238,81,1
1013,80,0,1350,19,1
177,23,0,3,0,1
709,15,0,4,1,1
0,2,0,0,0,0
588,101,0,1,0,1
109,25,0,9,4,1
82,21,0,24,0,1
73,140,0,2,0,1
6,16,0,1,0,1
400,10,0,84,7,1
75,16,0,32,2,1
2,3,0,1,0,1
18,1,0,1,0,1
122,174,0,35,0,1
0,1,0,0,0,0
378,33,0,6,0,1
31,7,0,12,0,1
365,1,0,18,0,1
588,33,882,133,1,1
837,4,0,1,0,1
531,649,0,46,23,1
107,35,0,2,1,1
92,58,65,33,8,1
184,43,44,118,3,1
53,14,0,37,5,1
210,102,0,63,3,1
55,6,0,175,2,1
1665,136,0,288,74,1
361,25,0,41,12,1
882,82,0,158,8,1
16,2,293,60,2,1
5,1,0,2,0,1
300,59,7,178,4,1
219,21,0,36,0,1
2109,25,0,5,0,1
2455,258,0,271,76,1
49,8,0,1,0,1
98,8,0,1,0,1
143,29,0,12,0,1
143,142,8414,1283,46,1
52,5,0,5,1,1
3610,15,0,2,0,1
86,11,0,17,0,1
649,213,0,11,4,1
2505,83,0,4,3,1
42,23,2527,458,3,1
7252,358,0,26,15,1
560,69,0,73,9,1
0,33,0,0,0,0
18,12,0,1,0,1
158,17,0,4,1,1
12,3,764195,4841,1,1
31,12,45,7,4,1
486,76,0,239,9,1
43,18,422106,1101,1,1
530,85,0,76,29,1
1053,92,0,12,4,1
136,33,0,22,14,1
2000,9,0,1,0,1
12,13,0,5,1,1
3526,460,0,92,26,1
62,4,0,358,0,1
553,480,0,1209,40,1
190,128,0,704,13,1
214,42,0,12,2,1
13,3,0,18,0,1
83,9,12,28,1,1
199,33,0,24,4,1
140,31,1075,1103,11,1
112,55,0,40,15,1
35,13,0,18,0,1
182,60,0,5,1,1
89,25,22,469,15,1
414,229,0,114,20,1
153,38,0,17,3,1
684,33,0,60,4,1
126,58,0,45,16,1
0,4,0,0,0,0
216,31,0,163,6,1
363,379,47,21,13,1
23,1,3,6,0,1
205,31,206,551,27,1
2905,118,0,437,48,1
290,84,0,29,1,1
372,125,61,24,22,1
61238,1350,0,30,20,1
0,34,0,0,0,0
169,67,138,37,16,1
29,18,0,26,1,1
50728,719,0,128,93,1
4820,11,0,4,0,1
993,33,0,73,7,1
69,17,0,3,2,1
176,217,0,3,0,1
39,42,0,4,0,1
52,4,0,1,0,1
87,109,427,230,0,1
81,71,198,47,6,1
3736,84,21,21,5,1
585,1177,0,150,11,1
357,73,0,49,2,1
215,39,0,25,1,1
473,55,0,9,6,1
586,72,0,85,20,1
602,50,0,21,1,1
160,50,23,31,19,1
226,25,0,40,0,1
65,11,0,2,0,1
1603,18,0,2,0,1
0,2,0,0,0,0
3552,210,0,77,13,1
862,53,0,3,1,1
70,7,165,19,3,1
133,33,0,32,10,1
47,30,0,35,1,1
331,58,2891,533,41,1
42,4,0,1,0,1
272,17,0,14,1,1
139,66,4,127,2,1
436,76,0,4,0,1
13,1,0,614,1,1
16,5,0,73,5,1
587,43,0,6,5,1
57,56,203,33,0,1
95,12,0,11,1,1
86,8,0,296,1,1
88,82,0,49,3,1
285,89,0,6,0,1
76,43,0,22,7,1
687,168,1960,161,27,1
34,5,236,94,2,1
414,229,1758,130,19,1
834,252,0,6,2,1
87,5,0,2,0,1
78,37,0,95,1,1
97,18,41,283,0,1
105,2,0,2,0,1
577,66,4,26,10,1
342,70,0,1,0,1
397,29,0,113,9,1
87,5,34,160,2,1
453,57,0,53,4,1
137,24,0,20,2,1
1935,163,0,74,17,1
294,134,2534,111,11,1
155,127,0,8,0,1
355,230,0,90,12,1
4365,169,0,97,61,1
60,38,0,12,10,1
66,15,10357,1231,13,1
426,48,0,73,13,1
14,37,0,1,0,1
231,34,0,19,1,1
149,45,1011,167,8,1
32,206,0,6,3,1
225,9,0,3,0,1
30,8,0,4,1,1
630,126,0,96,17,1
105,70,127,24,8,1
341,47,0,13,9,1
79,99,0,26,5,1
420,85,932,213,16,1
110,62,0,88,20,1
493,163,0,10,2,1
1456,1227,278,251,54,1
350,116,0,45,5,1
23146,733,0,17,12,1
723,64,0,2,1,1
87,9,0,3,0,1
15,13,11,38,10,1
96,60,145,458,19,1
12403,334,0,44,35,1
0,7,0,0,0,0
141,14,0,5,1,1
11,5,337,76,0,1
338,44,0,538,9,1
273,34,0,16,0,1
1199,61,0,64,2,1
191,83,0,69,14,1
31,28,0,1,0,1
71,12,0,25,1,1
5044,152,0,52,20,1
162,107,0,134,5,1
9,2,0,3,1,1
4,10,574,1555,2,1
1361,70,0,2,1,1
187,2358,0,7,1,1
243,16,0,18,3,1
28084,282,0,258,138,1
1,4,0,24,0,1
39,5,0,3,0,1
215,42,0,9,0,1
442,99,65,58,13,1
100,81,0,8,2,1
174,9,0,107,0,1
13,2,0,4,0,1
44,21,393,63,0,1
1928,125,115,64,8,1
1123,155,0,25,3,1
650,63,0,35,9,1
64,10,215,17,0,1
1433,31,0,107,24,1
998,60,0,41,14,1
13,5,0,27,0,1
10,1,0,1,0,1
7,141,0,3,0,1
3967,102,0,179,85,1
103,37,62813,2035,8,1
36,4,39,11,3,1
88,29,2891,533,22,1
65,20,0,2,0,1
70,26,0,24,2,1
3759,257,0,13,4,1
45,8,76,60,12,1
1146,586,0,56,15,1
198,19,0,98,11,1
29,15,32,20,16,1
143,8,0,34,0,1
40,9,0,118,1,1
114,7,0,38,0,1
350,24,0,9,0,1
23,10,0,9,1,1
566,492,9972,689,92,1
279,24,0,1,0,1
4855,98,0,67,18,1
121,170,0,38,7,1
135,17,0,3,2,1
568,79,0,19,2,1
1473,209,0,61,20,1
37,3,17,297,1,1
38,8,0,9,6,1
228,44,0,1,0,1
629,353,0,5,2,1
3,24,0,5,0,1
364,15,0,7,5,1
74,42,0,4,1,1
141,5,0,5,0,1
393,21,73,826,18,1
432,37,0,95,5,1
52,2,0,1,0,1
288,28,0,3,1,1
662,64,0,3,0,1
35,2,0,40,0,1
942,92,0,9,1,1
926,202,0,106,14,1
265,83,0,26,4,1
40,9,0,10,0,1
538,689,0,7,1,1
3629,464,0,369,95,1
401,62,0,16,1,1
75,7,0,72,1,1
94,21,0,17,4,1
252,15,0,10,1,1
4349,622,0,22,11,1
89,3,15,1841,19,1
1921,187,0,18,3,1
272,68,47364,673,2,1
1588,86,0,80,0,1
78,2,0,16,1,1
1667,187,0,53,5,1
1847,35,0,4,0,1
75,11,244,23,6,1
380,178,0,7,2,1
296,103,131,40,25,1
2383,142,0,87,20,1
1073,114,0,101,16,1
41,39,112,62,4,1
24,8,0,79,6,1
182,5,0,4,0,1
1986,114,0,5,1,1
40,7,227,429,7,1
395,61,0,9,2,1
34,11,0,2,0,1
1,1,0,387,0,1
1990,141,502,1914,99,1
83,47,0,42,9,1
168,5,0,1,0,1
53,13,48,45,3,1
334,40,0,1,0,1
162,36,1063,515,5,1
8923,619,0,273,120,1
20,16,0,20,1,1
127,318,231,89,15,1
394,163,0,74,8,1
43,22,0,1,0,1
13,739,0,128,7,1
656,199,110,22,14,1
541,12,0,2,0,1
336,25,0,137,4,1
638,18,0,10,0,1
89,38,0,5,0,1
335,86,0,9,1,1
590,176,0,1,0,1
68,25,0,63,2,1
119,2,0,2,1,1
26,3,0,3,0,1
176,18,0,12,1,1
85,76,1170,350,29,1
173,20,187,121,8,1
175,14,0,1,0,1
480,12,0,1,0,1
16,2,0,2,1,1
4662,319,1297,244,117,1
544,29,0,19,4,1
32,667,0,32,1,1
1951,69,0,7,4,1
6442,649,0,76,27,1
38,10,0,82,0,1
13,1,110,136,1,1
92,12,111,862,3,1
262,598,0,16,1,1
91,84,372,131,17,1
316,15,0,1,0,1
142,59,0,21,0,1
293,29,0,28,4,1
93,28,0,19,2,1
486,12,0,3,2,1
7744,260,0,70,47,1
438,80,0,101,17,1
5850,155,0,325,55,1
34,7,291,62,2,1
17,3,0,7,0,1
1736,346,0,283,28,1
291,2,0,31,2,1
0,15,0,0,0,0
9,2,0,1,0,1
287,22,0,7,2,1
68,2,0,5,0,1
45,2,0,1,0,1
288,73,0,18,3,1
443,26,0,166,4,1
238,25,0,1,0,1
232,134,0,58,6,1
4505,181,0,10,1,1
105,110,114,101,30,1
839,56,0,1,0,1
201,24,0,27,0,1
168,68,58,41,18,1
8391,262,112,12,0,1
20,4,1663,583,0,1
218,42,0,7,1,1
18,343,2352,1043,0,1
5,2,208,602,3,1
11,9,0,14,0,1
560,41,0,60,7,1
828,33,0,22,1,1
121,28,0,36,5,1
161,203,0,3,0,1
3,6,148,199,1,1
505,49,0,1,0,1
1569,242,0,178,35,1
1416,253,0,26,1,1
1469,145,0,67,30,1
105,170,0,26,11,1
55,16,0,9,7,1
213,1349,170,202,2,1
261,107,0,6,5,1
222,29,111,86,3,1
47,7,0,7,1,1
113,63,84,72,18,1
126,48,0,55,2,1
3,11,0,3,0,1
141,16,0,34,1,1
299,8,0,43,2,1
290,47,1258,823,8,1
312,14,0,2,1,1
28456,326,0,41,24,1
450,685,0,109,9,1
89,26,0,52,2,1
349,93,0,15,3,1
446,32,4229,1327,34,1
111,6,162,1592,15,1
194,43,0,37,6,1
42,6,0,18,1,1
50,15,142,357,10,1
101,63,0,36,12,1
65,12,190,13,5,1
42,10,0,1769,3,1
241,40,0,1,0,1
1314,259,0,187,41,1
361,121,0,31,7,1
1311,161,0,60,27,1
165,82,301,237,52,1
2204,155,0,17,12,1
206,38,0,75,2,1
103,22,0,33,2,1
79,9,0,49,5,1
555,13,0,372,10,1
2,5,0,5,0,1
316,282,32035,1337,35,1
106,12,85916,4637,17,1
751,84,0,17,12,1
124,23,0,134,4,1
490,32,0,4,0,1
326,73,440,66,11,1
47,15,35111,1870,8,1
608,260,1387,256,20,1
187,72,0,13,5,1
654,71,359,77,42,1
74,60,233,181,9,1
1270,115,0,24,0,1
269,20,0,13,3,1
119,115,0,85,1,1
1353,444,0,2,1,1
179,222,0,14,3,1
345,19,0,34,3,1
1165,114,0,10,2,1
554,44,0,29,2,1
95,1,422106,1101,2,1
73,826,48,60,14,1
121,48,67,33,4,1
70,21,2455,613,14,1
410,76,427,240,31,1
317,29,0,24,6,1
511,122,389,757,57,1
2,1,0,6,1,1
198,19,0,132,2,1
409,25,101514,1485,14,1
48,4,263,149,3,1
1149,7,0,1,0,1
82,35,0,7,2,1
2492,52,0,10,6,1
393,259,0,10,0,1
80,4,0,3,0,1
27,19,61,24,13,1
160,31,0,15,2,1
2484,92,0,7,2,1
186,29,0,426,1,1
90,27,5823,351,2,1
67,2,908,3432,9,1
152,29,118,63,16,1
100,11,0,10,1,1
202,42,0,54,1,1
284,77,6408,356,13,1
146,26,0,13,0,1
397,36,0,4,1,1
43,8,0,58,0,1
802,76,0,29,3,1
220,43,1,328,0,1
43,14,0,1,0,1
92,79,0,1,0,1
510,38,0,8,1,1
11,1,0,2,0,1
937,248,5962,455,32,1
1469,83,0,210,18,1
72,30,137,75,1,1
166,45,0,234,22,1
202,47,6089,818,38,1
58,165,0,47,1,1
1,1,0,3,0,1
162,26,0,11,0,1
359,105,0,43,4,1
153,40,0,2,1,1
84,22,0,19,2,1
29,25,135,80,5,1
185,18,0,48,13,1
108,23,0,25,2,1
847,47,0,664,5,1
292,45,0,1,0,1
236,80,0,121,13,1
472,25,0,9,0,1
428,1,0,2,0,1
3808,904,0,21,8,1
20,7,661,250,1,1
682,81,0,11,4,1
864,68,0,11,0,1
1155,66,0,21,2,1
182,25,0,5,2,1
1515,93,0,56,8,1
1,3,0,122,0,1
442,471,0,80,15,1
40,23,41,53,21,1
60,10,0,1,0,1
4102,306,0,10,1,1
73,20,304,68,12,1
2182,229,0,16,4,1
44,3,0,2,0,1
0,1,0,0,0,0
302,84,0,46,15,1
86,7,764195,4841,11,1
1290,33,0,2,0,1
411,111,0,31,3,1
412,148,137,9,0,1
54,18,2891,533,3,1
10,3,34,11,3,1
46,15,0,10,8,1
3,1,411,116,0,1
540,31,0,1,0,1
104,6,0,2,0,1
253,46,0,11,0,1
69,36,11757,1505,23,1
139,37,0,2,0,1
65,136,0,39,3,1
239,32,0,39,14,1
47,3,33,95,2,1
2080,58,0,12,0,1
271,138,0,27,1,1
93,2,0,2,1,1
121,27,1068,295,0,1
689,11,0,27,2,1
139,81,0,64,3,1
256,9,0,21,0,1
6329,309,0,8,5,1
82,12,0,11,2,1
474,40,0,1,0,1
24,7,698,184,3,1
98,20,0,5,0,1
125,13,0,3,0,1
1639,327,0,682,77,1
864,95,2352,1043,34,1
2457,550,0,70,46,1
14,1,0,2,0,1
225,41,0,712,20,1
591,87,0,1,0,1
128,36,0,4,2,1
2547,247,282,908,136,1
1754,22,0,2,0,1
17,5,88,43,6,1
403,73,5262,1345,17,1
1818,242,0,68,14,1
2204,155,353,340,61,1
111,9,0,20,2,1
32,1,0,2,0,1
353,47,0,70,1,1
560,254,36,342,21,1
3132,207,1888,222,44,1
102,23,0,1,0,1
10,6,0,88,0,1
8,4,411,116,1,1
389,38,0,730,31,1
111,32,1242,1418,8,1
98,20,0,6,1,1
144,7,82,860,3,1
68,25,0,2,0,1
130,13,0,2,0,1
54,19,199,64,14,1
251,100,316,282,45,1
383,68,73,50,5,1
129,116,0,26,9,1
313,484,111,204,27,1
1349,221,667,266,42,1
1207,129,0,4,0,1
506,29,0,17,10,1
103,6,0,1,0,1
14,5,0,68,0,1
117,141,0,39,12,1
49,3,215,12,0,1
2453,186,0,1,0,1
1746,126,0,354,61,1
193,30,1921,2951,13,1
39,2,0,5,0,1
38,10,0,19,5,1
67,5,0,1765,8,1
30,30,190,126,5,1
4,2,0,22,0,1
32,728,130,2452,5,1
476,105,0,1,0,1
112,17,0,1,0,1
31,5,0,1,0,1
2526,234,0,380,55,1
972,42,0,10,2,1
157,53,41,860,13,1
52,26,299,527,22,1
653,540,0,72,7,1
174,19,26,421,4,1
41,18,393,145,1,1
1252,209,496,448,85,1
1754,22,0,2,0,1
22,26,0,49,0,1
511,104,0,87,36,1
91,268,0,22,1,1
513,126,0,2,0,1
196,16,0,6,1,1
51,8,185,66,4,1
30,2,0,5,0,1
1988,31,0,174,43,1
2,1,0,2,0,1
1322,79,0,95,8,1
579,68,0,8,0,1
353,68,229,480,21,1
112,28,0,4,0,1
249,86,0,18,9,1
135,45,17,297,3,1
1927,138,0,6,0,1
7,7,0,2,1,1
20,38,0,149,0,1
3147,44,0,2,0,1
75,15,0,2,0,1
213,26,0,1,0,1
83,50,86403,1882,12,1
11,59,118,95,7,1
0,5,0,0,0,0
124,17,751,2294,9,1
686,50,61749,2090,39,1
5,2,211,864,0,1
108,10,0,62,3,1
1743,306,0,31,1,1
62,18,0,23,2,1
4,3,0,1,0,1
194,18,0,27,2,1
164,5,0,24,0,1
511,39,0,8,3,1
0,2,0,0,0,0
64,21,0,220,1,1
658,89,0,25,5,1
270,155,0,79,1,1
337,77,0,1765,22,1
16,8,0,5,1,1
256,120,0,2,0,1
61,24,0,2,1,1
3143,208,0,8,1,1
2455,613,0,322,64,1
160,160,0,9,3,1
57,23,74,15,10,1
5587,1172,0,7,2,1
2735,456,0,46,8,1
39,627,111,5,0,1
2182,229,799,151,17,1
383,104,0,153,32,1
880,119,34095,1507,31,1
99,2,0,4,0,1
34,5,0,7,0,1
9,14,2,10,1,1
1476,87,0,1,0,1
175,50,147,109,5,1
524,26,0,23,6,1
199,88,0,39,6,1
30,2,283,207,1,1
2948,72,0,96,9,1
0,25,0,0,0,0
374,36,297,895,29,1
216,18,0,7,1,1
138,12,0,21,7,1
1829,166,0,18,3,1
1467,158,0,34,9,1
130,4,0,1,0,1
314,17,0,40,4,1
7,259,0,8,1,1
10848,481,0,5,2,1
156,48,0,2,0,1
101,13,9,129,0,1
108,31,1344,204,10,1
366,81,0,4,2,1
110,15,0,361,1,1
2062,363,0,216,59,1
2509,384,0,13,10,1
224,20,724,206,22,1
137,40,0,1,0,1
73,38,131,481,14,1
600,80,0,100,6,1
411,14,166,875,12,1
17,7,0,1,0,1
129,32,0,2,0,1
663,124,0,23,3,1
84,2,0,2,0,1
1042,44,0,19,10,1
407,77,0,2,0,1
29,7,0,4,0,1
534,14,0,46,2,1
123,28,0,38,0,1
676,49,0,13,1,1
16,1,0,1,0,1
19,438,6,152,2,1
109,28,0,1,0,1
20,14,0,20,1,1
39,44,0,64,0,1
11,5,18,343,1,1
395,48,0,9,0,1
1186,65,0,18,5,1
420,44,0,4,1,1
544,46,0,30,2,1
404,90,2,67,4,1
42,132,0,129,1,1
0,2,0,0,0,0
269,413,0,14,0,1
15,1,45,37,2,1
35,15,0,28,2,1
57,20,0,2,0,1
504,54,228,2002,29,1
125,11,0,55,0,1
34,5,0,17,1,1
305,7,0,2,1,1
0,2,0,0,0,0
0,1,0,0,0,0
69,34,8414,1283,23,1
912,27,0,44,3,1
0,11,0,0,0,0
485,163,0,7,2,1
0,9,0,0,0,0
1572,315,0,122,39,1
42,561,0,45,4,1
202,42,0,2,1,1
2609,66,0,1,0,1
53,21,0,1,0,1
173,16,0,1,0,1
1685,235,0,26,10,1
1999,176,0,21,8,1
1176,397,0,28,5,1
1054,55,0,1,0,1
28,3,76,46,3,1
184,92,0,2,0,1
444,47,0,107,5,1
238,10,0,121,1,1
49,8,770,232,29,1
389,96,0,8,5,1
129,9,726,631,13,1
5819,122,0,41,11,1
479,2,0,3,0,1
22,7,0,2,0,1
3358,404,0,20,12,1
539,19,0,14,0,1
38,32,208,602,24,1
12,104,0,3,1,1
54,2,0,29,0,1
50,24,0,34,1,1
60519,948,0,98,80,1
413,70,176,400,22,1
67,30,12829,1175,7,1
130,32,0,1,0,1
20,5,0,1,0,1
476,43,447,279,7,1
3,3,0,1,0,1
53,1,0,13,0,1
1995,89,0,94,22,1
359,27,704,812,37,1
6565,177,0,640,49,1
93,39,0,94,1,1
474,68,0,2,1,1
42,67,83,66,5,1
17,4,314,246,3,1
0,3,0,0,0,0
47,18,360,106,10,1
58,15,14939,740,5,1
119,18,196,214,1,1
105,100,247,200,8,1
21,9,0,21,0,1
521,131,0,75,5,1
243,94,0,3,0,1
262,9,0,25,1,1
22,11,226,227,18,1
60,6,0,7,5,1
208,108,764195,4841,45,1
169,176,296,114,28,1
138,48,0,144,3,1
272,73,264,797,8,1
856,279,209,409,66,1
49,11,0,9,0,1
52,26,56,339,17,1
150,14,0,486,5,1
291,22,0,1,0,1
6808,273,0,128,52,1
817,107,470,125,10,1
154,79,0,2,0,1
62,10,0,380,4,1
197,47,0,118,9,1
850,41,0,2,0,1
36291,548,0,6,5,1
286,38,1299,50,7,1
83,40,4545,512,16,1
68,24,0,8,5,1
244,54,0,50,2,1
558,44,0,2,0,1
82,12,0,12,2,1
68,11,0,2,0,1
40,10,0,18,3,1
868,83,0,1,0,1
