@relation trainset-weka.filters.unsupervised.attribute.NumericToNominal-R9-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute fromout numeric
@attribute fromin numeric
@attribute toout numeric
@attribute toin numeric
@attribute width numeric
@attribute exist {0,1}

@data
50,5,18,3654,4,1
193,102,0,76,27,1
0,34,0,0,0,0
884,88,481,1196,22,1
132,13,0,36,6,1
34,7,155,153,11,1
12,2,0,1,0,1
15,166,996,1035,0,1
84,29,0,18,0,1
270,155,0,29,7,1
451,1284,112,47,7,1
851,80,24864,494,64,1
109,28,1280,141,7,1
103,64,0,1,0,1
649,113,1011,816,58,1
17,21,0,16,3,1
27,2,0,3,0,1
84,5,0,1,0,1
33,3,0,1,0,1
731,132,0,1218,75,1
77,55,18,214,4,1
31,94,0,7,5,1
159,22,2457,550,13,1
420,51,0,12,1,1
2777,94,0,74,28,1
827,218,0,22,5,1
242,31,0,14,2,1
427,230,0,41,2,1
346,73,287,55,8,1
413,9,509,368,48,1
1999,24,0,3,0,1
920,76,0,330,2,1
227,10,0,1,0,1
90,31,57,903,6,1
10934,187,0,113,28,1
22,36,386,225,2,1
756,40,0,18,12,1
253,35,0,51,0,1
238,57,0,38,8,1
309,168,161,203,3,1
104,9,0,1,0,1
1935,78,0,170,20,1
36,384,0,14,1,1
267,166,0,9,6,1
119,21,8414,1283,22,1
406,69,0,4,0,1
159,11,0,37,3,1
443,100,0,301,42,1
207,21,0,2,0,1
1382,95,0,44,13,1
717,143,0,82,5,1
5,93,4519,2239,4,1
193,29,0,46,5,1
318,24,0,8,2,1
92,35,249,114,3,1
38,7,0,21,0,1
988,114,0,14,11,1
10,1,46,109,1,1
111,13,0,16,1,1
264,132,39,46,5,1
468,49,0,28,6,1
68,11,0,1,0,1
122,23,10697,600,3,1
95,19,0,7,2,1
2422,125,0,559,71,1
2664,60,0,10,4,1
1968,152,0,147,34,1
119,23,0,701,1,1
54,20,0,43,6,1
14,23,852,318,3,1
32,38,14,63,19,1
0,7,0,0,0,0
376,96,0,557,8,1
17132,237,0,5,3,1
507,43,0,1,0,1
54,19,0,14,7,1
353,56,0,40,5,1
0,3,0,0,0,0
0,2,0,0,0,0
14,2,0,24,0,1
10995,1001,0,32,18,1
568,217,0,17,5,1
357,38,374,48,5,1
749,69,0,6,1,1
410,40,0,15,0,1
33,24,0,201,0,1
43,11,0,123,1,1
20,3,0,2,0,1
432,63,0,2,0,1
32,4,0,1,0,1
29,5,0,2,0,1
71,39,0,6,4,1
39,1,0,429,1,1
3378,232,0,298,59,1
1521,19,0,2,0,1
69,21,50,9,3,1
354,39,677,336,56,1
93,28,0,7,1,1
122,69,299,170,42,1
401,51,0,14,3,1
459,9,0,1,0,1
168,42,0,19,1,1
175,67,0,23,1,1
17,19,0,26,0,1
313,74,258,736,21,1
0,2,0,0,0,0
822,210,0,3,0,1
46,6,0,3,1,1
73,2,0,3,0,1
2851,80,0,27,10,1
61,7,0,13,2,1
155,222,0,4,0,1
671,64,0,1805,22,1
88,545,97,17,7,1
0,4,0,0,0,0
103,4,0,37,0,1
35,13,23,126,1,1
88,3,17,772,6,1
266,41,3063,225,1,1
52,418,245,102,3,1
81,98,13,127,19,1
371,81,0,4,1,1
38,20,90,71,1,1
27,2,0,66,0,1
12,4,0,10,0,1
146,56,98625,2466,5,1
107,24,0,330,4,1
112,323,0,75,3,1
26,3,0,55,3,1
1104,68,0,28,12,1
74,7,0,9,3,1
865,75,0,3,0,1
24183,919,0,4,0,1
43,9,0,11,5,1
82,755,12,104,1,1
95,7,0,452,0,1
144,120,25,24,7,1
96,14,0,20,0,1
144,80,0,298,0,1
12713,551,0,117,48,1
147,109,0,118,1,1
150,26,0,48,0,1
23,20,78,96,14,1
568,217,0,249,41,1
3512,153,0,1,0,1
6,38,202,177,4,1
188,11,0,1,0,1
1019,844,142,32,13,1
15,2,0,5,1,1
181,92,0,8,0,1
43,4,0,6,1,1
57,33,63,33,19,1
131,2,0,136,4,1
412,105,455,131,13,1
7820,227,0,240,79,1
28,13,0,3,0,1
62,8,0,1,0,1
420,44,0,11,4,1
315,81,0,5,4,1
834,40,0,3,0,1
94,20,0,10,1,1
7710,662,0,125,65,1
21,10,0,33,0,1
70,33,0,2,1,1
3238,335,0,2,0,1
503,28,0,14,1,1
5074,219,0,4,3,1
122,174,72,77,1,1
1519,220,0,2,0,1
69,16,0,628,2,1
369,37,618,103,12,1
1227,73,0,10,0,1
254,158,412,99,18,1
69,4,436,62,3,1
4228,559,0,271,102,1
1132,379,0,14,9,1
545,69,0,10,5,1
116,94,318,271,13,1
229,480,539,105,9,1
84,48,0,22,1,1
383,135,0,7,3,1
334,78,566,492,46,1
314,246,317,89,19,1
3703,111,0,1,0,1
231,43,0,32,11,1
35317,640,0,119,88,1
46,11,0,17,1,1
283,71,86403,1882,19,1
38,135,142,489,2,1
21,9,339,95,2,1
74,29,1991,344,17,1
24,163,94,42,1,1
5329,752,0,208,134,1
100,50,0,31,20,1
251,76,628,682,27,1
60,4,0,43,0,1
1197,182,0,11,5,1
48,34,20,30,14,1
27310,493,0,51,34,1
196,37,0,28,4,1
113,5,0,1,0,1
257,121,849,144,28,1
12,3,0,45,0,1
61,40,0,4,2,1
74,19,0,6,2,1
85,41,0,1,0,1
258,49,285,316,17,1
53,22,23,22,12,1
28,3,0,16,2,1
276,134,0,16,1,1
153,17,0,1,0,1
256,25,1982,52,5,1
198,22,305,74,3,1
5,3,0,1,0,1
417,32,498,112,5,1
12578,226,0,31,10,1
22,7,0,65,1,1
646,39,0,12,7,1
4651,156,0,285,65,1
253,40,2534,111,0,1
280,89,0,75,11,1
12,4,25,9,4,1
22,26,214,1141,7,1
75,44,0,6,1,1
90,21,0,40,1,1
997,45,0,3,1,1
221,117,439,123,9,1
32,104,36,8,0,1
848,193,0,340,43,1
89,10,0,1,0,1
1694,92,0,33,1,1
159,233,0,210,32,1
678,60,86403,1882,22,1
8739,182,0,3,1,1
23,36,180,102,2,1
4397,40,0,143,4,1
15,78,0,2,0,1
91,30,46,396,12,1
13,573,56,339,0,1
159,22,996,1035,26,1
1941,169,0,92,23,1
251,27,0,8,2,1
310,60,78,26,15,1
204,24,0,19,3,1
71,4,0,15,1,1
80,125,0,2,0,1
2,18,0,139,0,1
929,85,0,1,0,1
90,30,0,321,9,1
998,66,0,139,15,1
182,32,0,26,0,1
411,107,0,88,2,1
62,17,0,1,0,1
1973,70,0,32,5,1
84,72,5587,1172,14,1
203,5,0,2,1,1
58,4,0,1,0,1
0,21,0,0,0,0
168,68,2455,613,36,1
467,76,0,1,0,1
243,6,115,131,5,1
6252,43,0,21,1,1
21,8,88,20,6,1
1988,31,0,112,51,1
127,1345,481,1196,31,1
78,15,0,725,10,1
165,31,0,22,17,1
34,4,0,47,0,1
947,297,388,101,21,1
67,7,0,7,1,1
864,95,0,27,11,1
107,27,0,3,0,1
2118,243,0,3,1,1
317,24,0,20,1,1
39,8,0,372,1,1
118,38,105,781,12,1
109,25,0,34,10,1
52,4,0,1,0,1
793,58,69,1145,16,1
6498,512,0,90,37,1
501,111,0,15,9,1
701,142,0,35,10,1
1320,83,0,14,1,1
10,21,162,1592,1,1
219,30,0,2,0,1
99,140,105,247,10,1
63,16,1051,366,6,1
202,142,0,7,1,1
417,138,378,227,21,1
568,39,0,8,4,1
133,13,635,43,0,1
163,55,729,381,52,1
219,25,0,3,0,1
480,40,819,172,38,1
260,71,0,122,9,1
34,7,0,53,0,1
375,2,0,1,0,1
31,4,0,2,0,1
2115,38,0,135,1,1
11,5,0,12,0,1
425,137,2049,391,66,1
76,37,0,381,0,1
326,69,0,83,21,1
301,237,0,16,13,1
653,89,0,3,0,1
2637,99,0,12,0,1
159,46,0,61,20,1
572,294,118413,1143,48,1
182,8,0,2,0,1
407,31,0,1,0,1
2673,117,0,111,11,1
193,28,0,7,1,1
368,290,0,6,1,1
99,265,0,13,3,1
870,102,0,12,0,1
321,28,0,7,1,1
42,4,0,5,1,1
191,15,0,12,1,1
1479,28,0,18,8,1
150,6,0,2,0,1
1,16,2688,184,0,1
71,8,0,3,2,1
263,59,102,68,12,1
67,9,76,528,8,1
728,167,0,9,2,1
1057,49,0,140,2,1
20,4,0,27,0,1
164,75,0,28,1,1
15,4,0,62,0,1
1781,12,0,1,0,1
1207,129,0,27,3,1
16,35,0,9,0,1
159,22,25,319,5,1
692,49,0,238,6,1
184,10,0,10,0,1
49,19,62,19,1,1
1316,167,0,98,23,1
1039,123,0,54,23,1
55,64,26,14,3,1
136,38,0,107,8,1
122,8,0,4,1,1
338,30,0,37,11,1
3026,61,0,7,1,1
58,16,0,47,0,1
120,51,0,6,0,1
3968,283,236,179,31,1
131,15,0,9,4,1
68,24,0,38,16,1
260,62,0,1,0,1
632,116,0,274,6,1
23,3,0,6,0,1
1163,59,0,2,0,1
10280,694,0,583,146,1
829,168,0,26,5,1
76,5,662,246,1,1
120,25,138,590,14,1
8,33,0,10,0,1
81,9,0,6,1,1
295,59,0,37,11,1
1997,26,0,3,0,1
85,91,0,1,0,1
100,13,0,14,1,1
1007,104,0,4,2,1
12,2,39,1605,3,1
814,68,0,26,9,1
8969,350,0,303,115,1
39,1,28,709,1,1
2306,78,0,5,0,1
112,15,0,2,0,1
989,13,0,1,0,1
298,31,0,6,0,1
313,20,31,20,2,1
39,6,0,22,0,1
42,1,0,2,0,1
83,23,0,3,1,1
1,44,0,13,0,1
136,74,0,21,3,1
85,4,0,2,1,1
1848,200,0,309,30,1
301,59,10151,826,14,1
16,2,0,1,0,1
313,81,0,93,7,1
46,2,0,1,0,1
23110,311,0,61,3,1
163,1,0,2,0,1
181,92,0,30,5,1
1709,161,1688,176,21,1
162,36,0,1,0,1
85,5,0,2,0,1
2245,142,0,11,0,1
102,12,1763,302,1,1
136,57,159,46,4,1
123,25,239,814,3,1
150,1,0,2,0,1
167,80,0,30,11,1
2138,124,0,67,18,1
9348,533,0,34,15,1
225,67,0,20,4,1
64,19,690,2605,13,1
409,71,442,471,10,1
64,23,0,30,6,1
2182,229,223,94,7,1
319,73,366,269,37,1
256,35,1548,152,2,1
129,116,0,13,6,1
48,215,0,11,0,1
4,1,66,82,3,1
114,33,0,27,0,1
72,23,0,4,0,1
1461,101,0,13,0,1
2357,94,0,17,3,1
724,124,0,145,24,1
119,66,45,39,25,1
258,35,0,862,4,1
184,55,0,21,7,1
52,5,141,5,3,1
33,11,78,157,7,1
70,15,53,556,0,1
58,14,0,74,0,1
493,43,0,6,2,1
165,32,0,9,1,1
87,11,18,4,1,1
191,18,0,20,0,1
11,1,73,826,4,1
1743,306,0,1,0,1
443,51,0,6,0,1
96,50,4,10,5,1
389,14,0,1,0,1
90,39,0,45,0,1
261,32,95,33,0,1
83,17,31,19,7,1
97,100,0,3,0,1
134,530,0,21,0,1
1629,106,0,18,3,1
44,6,52,10,3,1
43,3,0,6,1,1
1268,68,0,327,53,1
2115,188,0,256,29,1
99,1,0,73,0,1
100,17,0,4,0,1
94,11,206,84,16,1
50,17,4519,2239,12,1
695,52,0,39,4,1
327,22,0,11,2,1
564,61,0,68,10,1
57,33,32035,1337,6,1
47,9,0,28,3,1
24,17,0,2,1,1
848,193,3453,337,77,1
225,198,203,87,13,1
131,9,0,4,0,1
120,68,0,1,0,1
248,42,0,73,9,1
198,36,0,10,4,1
264,44,111,86,4,1
71,44,0,49,2,1
27615,541,0,13,11,1
14177,781,0,57,31,1
257,121,1348,1838,48,1
29,19,35,18,11,1
435,652,0,191,31,1
372,93,0,6,0,1
77,4,40,361,18,1
1305,289,0,3,1,1
760,63,0,275,18,1
295,50,0,176,3,1
296,63,0,5,0,1
0,1,0,0,0,0
5,2,25,4,1,1
1026,100,0,197,13,1
20,3,0,63,0,1
301,24,0,6,4,1
47,6,111,10,4,1
53,25,132,21,2,1
355,24,0,215,4,1
2268,167,0,3,2,1
39,42,0,107,3,1
0,1,0,0,0,0
50,52,0,46,2,1
481,209,0,238,31,1
175,160,0,5,2,1
60,10,0,1,0,1
153,2,0,5,0,1
89,21,0,1,0,1
38,10,0,19,5,1
306,21,280325,882,5,1
30,2,296,655,8,1
277,33,0,8,1,1
320,10,22,469,9,1
829,168,0,143,29,1
6565,177,0,3,1,1
426,93,48946,752,26,1
2873,156,0,6,1,1
251,21,0,5,0,1
65,7,0,8,0,1
13,5,197,236,11,1
395,30,0,11,1,1
14,1,140,508,3,1
42,1,0,51,1,1
118,62,60,1794,11,1
91,8,0,17,0,1
1966,109,0,8,3,1
294,23,0,12,1,1
98,1458,0,35,2,1
570,105,0,70,2,1
52,2,0,1,0,1
302,20,0,16,0,1
30,4,41,53,2,1
48,476,0,208,6,1
9,145,0,30,0,1
84,9,0,45,4,1
121,15,0,158,0,1
329,21,0,65,3,1
3486,418,0,183,68,1
12479,898,0,253,137,1
655,33,0,51,4,1
0,15,0,0,0,0
30,6,131,401,0,1
934,193,0,4,0,1
32,667,130,2452,5,1
1667,187,0,247,53,1
6305,453,0,41,10,1
39,7,1921,2951,0,1
1503,128,0,4,2,1
503,80,0,10,3,1
5,2,0,6,0,1
583,107,0,25,10,1
443,16,2534,111,5,1
468,278,0,27,2,1
716,48,0,1,0,1
52,29,284,155,1,1
14,5,118413,1143,1,1
128,31,0,1,0,1
0,2,0,0,0,0
51,29,459,56,0,1
229,90,134,45,7,1
0,1,0,0,0,0
4088,411,0,3,1,1
210,99,278,38,6,1
400,58,0,400,25,1
320,10,0,46,3,1
53,19,122,174,0,1
80,8,0,313,8,1
172,74,0,2,0,1
20,2,0,7,0,1
42,18,286,114,20,1
1233,40,137761,3425,18,1
4126,103,0,66,48,1
148,9,449,52,0,1
375,26,0,1,0,1
0,48,0,0,0,0
2,1,0,5,0,1
0,7,0,0,0,0
27,13,0,18,0,1
72,2,0,11,0,1
106,172,25,1117,41,1
36661,765,0,4,0,1
9387,116,0,3,1,1
66,4,0,1,0,1
1817,66,0,231,37,1
66,10,0,22,0,1
91,46,0,1,0,1
116,16,0,3,2,1
0,5,0,0,0,0
243,13,0,1,0,1
0,2,0,0,0,0
58,14,0,3,0,1
0,49,0,0,0,0
9,1,131,401,0,1
770,61,0,1765,42,1
115,7,0,89,6,1
3150,275,0,66,7,1
198,43,30,3,0,1
43,30,1274,624,11,1
1457,169,0,13,3,1
197,39,0,397,4,1
12347,301,0,25,15,1
53,32,0,1,0,1
130,12,0,40,2,1
167,84,0,38,8,1
737,41,0,6,5,1
80,24,0,41,0,1
49,16,49,19,15,1
13,1,0,8,0,1
305,39,0,2,0,1
6,4,0,1,0,1
371,3,0,6,0,1
57,20,1116,134,8,1
24,3,0,6,0,1
23110,311,0,33,6,1
1,1,26,28,0,1
162,5,0,8,0,1
29,5,106,30,2,1
48,15,0,2,1,1
475,55,0,1,0,1
616,88,0,15,9,1
50,17,0,27,0,1
154,34,0,147,3,1
536,65,317,791,50,1
271,18,0,2,1,1
17,21,0,25,1,1
40,114,0,1,0,1
136,25,0,41,6,1
2432,94,0,13,5,1
6975,214,0,8,1,1
166,39,0,1,0,1
1,1,0,1,0,1
481,1196,0,278,0,1
23,5,94,23,3,1
327,17,0,1,0,1
2,36,420,44,0,1
2967,97,0,6,0,1
565,71,0,78,6,1
26,26,2102,249,0,1
30,6,0,1381,9,1
481,47,38778,1131,28,1
1310,132,0,80,33,1
2943,492,0,55,20,1
30,4,0,4,2,1
22,31,14,147,19,1
155,4,0,3,0,1
20,5,81,33,6,1
359,73,0,74,5,1
390,552,0,12,1,1
131,16,0,10,0,1
0,9,0,0,0,0
377,18,0,1,0,1
0,2,0,0,0,0
1367,238,0,120,17,1
182,8,0,98,1,1
1846,384,60,211,46,1
40,9,0,16,0,1
77,43,1068,295,18,1
616,70,0,21,0,1
294,42,0,2,0,1
97,11,0,325,3,1
5,93,342,120,4,1
0,111,0,0,0,0
46,32,0,8,0,1
1755,125,0,2,0,1
281,53,3126,404,18,1
451,69,0,20,6,1
0,1,0,0,0,0
105,110,138,186,49,1
124,32,0,12,1,1
78,17,0,6,0,1
1069,115,0,42,9,1
80,21,0,1,0,1
7871,131,0,23,11,1
8349,957,0,28,12,1
294,33,0,4,1,1
5546,258,0,82,33,1
194,40,0,21,0,1
64,5,0,92,2,1
66,27,0,22,3,1
821,67,0,19,16,1
256,86,0,4,2,1
38,31,0,3,0,1
17,20,0,7,1,1
77,15,1743,306,3,1
970,99,151,62,35,1
159,46,0,1,0,1
72,2,0,2,0,1
986,34,0,8,0,1
4904,125,0,2,0,1
65,16,0,11,1,1
805,61,0,97,24,1
86,41,6562,766,21,1
587,119,848,324,48,1
41,96,0,59,0,1
1064,141,0,4,0,1
384,252,0,1,0,1
19,7,0,4,0,1
90,21,90,77,0,1
593,60,0,11,1,1
46,5,0,23,0,1
225,105,0,48,1,1
15,14,220,657,9,1
9,39,14576,2084,6,1
425,53,0,14,2,1
94,2,0,1,0,1
339,61,0,11,6,1
78,17,0,1,0,1
7,127,107,29,0,1
6,71,26349,1180,4,1
87,24,0,3,0,1
3045,225,0,33,10,1
816,186,0,1,0,1
111,37,165,46,10,1
0,23,0,0,0,0
151,60,0,7,0,1
130,67,58,41,4,1
149,22,0,9,2,1
196,25,0,30,12,1
36,6,0,131,2,1
23,57,0,6,0,1
229,38,0,65,14,1
307,102,253,139,5,1
257,82,0,2,0,1
120,6,0,98,0,1
290,13,0,43,0,1
40,21,0,26,1,1
54,9,917,268,4,1
139,78,0,37,3,1
140,35,2,26,0,1
178,36,0,2,1,1
109,22,0,1,0,1
80,14,0,26,2,1
36,18,58,10,7,1
29,7,33,95,9,1
10,1,0,2,1,1
250,22,176,16,0,1
608,47,0,1,0,1
1133,93,0,4,0,1
203,293,227,109,13,1
33,6,0,1,0,1
28,8,2765,48,0,1
33,2,0,144,1,1
993,33,0,4,0,1
104,27,110,28,2,1
117,84,0,4,3,1
6,33,0,14,0,1
221,10,0,2,0,1
1448,167,0,42,14,1
463,106,2943,492,69,1
67,12,86403,1882,1,1
325,31,989,107,0,1
14,3,61238,1350,2,1
99,33,2006,333,17,1
276,25,0,325,7,1
88,20,5849,777,4,1
3,6,34,10,1,1
151,80,0,81,11,1
50,66,318,271,14,1
169,56,0,14,4,1
6,1,118721,1252,1,1
55,19,19,65,6,1
25,155,31,163,9,1
59,115,0,19,2,1
11430,719,0,91,45,1
14,4,0,83,2,1
34,25,138,221,27,1
24,1,0,9,0,1
122,68,0,3,1,1
0,1,0,0,0,0
14,22,89,57,6,1
1330,316,2099,283,104,1
80,6,453,183,6,1
175,49,0,155,18,1
1032,116,0,7,0,1
1928,77,0,419,29,1
56,31,178,891,14,1
1455,26,0,141,6,1
152,34,0,23,1,1
94,20,0,1,0,1
72,39,75,52,26,1
270,73,0,9,2,1
118,46,75,52,27,1
261,24,0,5,1,1
631,18,0,47,2,1
13,12,0,36,0,1
7,1,0,3,0,1
15,2,0,1,0,1
66490,999,0,73,61,1
562,26,0,5,1,1
299,8,0,1,0,1
51,5,0,132,0,1
177,45,0,7,1,1
251,293,261,82,6,1
45,2,0,1,0,1
105,73,181,80,8,1
542,19,0,1,0,1
363,31,0,15,0,1
13,4,0,1,0,1
0,1,0,0,0,0
10276,250,0,15,7,1
94,34,0,9,0,1
4433,102,0,200,51,1
545,227,0,21,5,1
353,68,0,1,0,1
0,28,0,0,0,0
85,37,65,87,12,1
291,2,0,1,0,1
1856,128,0,6,2,1
1097,100,1174,119,4,1
1,32,0,96,0,1
141,80,0,3,0,1
12243,169,0,4,1,1
362,37,0,21,1,1
816,186,0,1340,80,1
857,55,0,49,5,1
2109,49,0,12,4,1
452,262,0,218,5,1
73,28,0,29,1,1
133,4,0,34,0,1
79,10,0,2,0,1
27,2,0,1,0,1
6,4,0,94,0,1
414,229,0,40,12,1
3286,107,0,63,3,1
4614,186,0,67,37,1
54,1,0,319,1,1
58,10,118,34,9,1
382,60,0,47,9,1
260,164,0,70,11,1
220,95,134,236,17,1
44,2,0,2,0,1
397,22,208,40,7,1
54,12,0,65,1,1
38,8,0,67,0,1
660,143,10477,911,80,1
12,2,57,903,0,1
71,5,0,1,0,1
67,20,14,63,14,1
185,7,0,187,5,1
193,16,0,15,0,1
35,7,4932,751,5,1
47,2,287,194,4,1
14,260,690,2605,4,1
58,22,0,9,7,1
2642,408,134,130,12,1
152,54,0,20,16,1
1,4,0,1,0,1
5501,231,0,97,35,1
309,13,0,1,0,1
66,42,0,3,1,1
4336,216,0,108,16,1
65,3,0,3,0,1
135,39,8414,1283,18,1
119,18,0,2,0,1
422,95,90,291,17,1
151,19,0,13,6,1
101,16,0,3,0,1
35426,449,0,5,4,1
1205,247,0,4,3,1
229,25,0,53,2,1
190,149,359,188,24,1
14,2,0,2,0,1
32,30,61,68,1,1
129,9,0,548,3,1
40,21,22,31,15,1
365,26,0,129,8,1
185,213,0,34,5,1
11,28,58,215,5,1
16,7,409,27,3,1
964,2,0,4,0,1
38,10,57,903,16,1
11,11,0,2,0,1
47,12,0,37,6,1
272,68,6089,818,27,1
98,26,0,45,4,1
71,1529,0,170,1,1
23,111,0,4,0,1
154,17,0,17,4,1
53,15,7,149,0,1
265,168,0,13,5,1
98,8,0,48,2,1
701,91,0,19,4,1
580,22,0,7,2,1
126,9,0,62,2,1
2,12,203,93,0,1
126,34,0,1,0,1
7803,351,0,2,0,1
117,188,139,16,5,1
84,5,795,2431,6,1
271,12,0,9,3,1
5225,1008,0,127,43,1
5418,932,0,14,9,1
99,33,0,144,17,1
23,8,445,117,4,1
309,41,0,47,3,1
989,97,0,82,8,1
33,13,26,291,2,1
54,4,0,16,2,1
13,3,14,147,8,1
80,33,0,45,1,1
42,40,98,68,4,1
124,19,0,18,12,1
182,27,0,95,6,1
53,16,0,19,0,1
124,29,0,2,0,1
108,7,0,896,4,1
99,81,0,11,1,1
93,131,0,14,1,1
302,19,0,45,8,1
299,64,24,543,16,1
170,32,0,10,2,1
3240,126,0,2,0,1
355,81,5,952,11,1
11,2,0,2,1,1
96,4,0,13,0,1
64567,1036,0,83,70,1
83,23,0,55,5,1
326,108,1935,835,57,1
15,1,0,25,2,1
95,88,64,321,6,1
1661,86,0,12,0,1
52,7,0,4,0,1
3847,286,0,717,157,1
113,8,0,9,2,1
289,6,0,1,0,1
1877,175,561,198,7,1
90,11,0,2,0,1
621,323,342,120,61,1
422,161,0,41,7,1
602,50,0,1,0,1
232,201,0,11,1,1
89,49,932,213,15,1
111,36,0,21,1,1
87,10,0,3,0,1
429,107,0,26,1,1
36,4,0,57,1,1
4,3,3147,44,2,1
129,18,0,36,4,1
99,7,0,26,0,1
229,98,0,12,6,1
578,19,0,60,2,1
145,34,54,1643,4,1
92,3,0,2,0,1
38,106,0,52,3,1
274,23,0,3,0,1
15,9,138,89,4,1
2488,138,0,2,0,1
311,36,0,76,2,1
1,1,151,37,0,1
75,12,0,1,0,1
107,15,0,21,0,1
0,3,0,0,0,0
43,4,0,5,1,1
2,189,110,136,0,1
1,2,67,48,0,1
558,134,0,77,9,1
13,2,0,1,0,1
72,3,0,11,0,1
28,8,0,1,0,1
15,39,148,199,10,1
122,92,351,92,7,1
385,84,0,104,5,1
1743,238,0,153,31,1
92,13,0,7,0,1
866,60,0,39,3,1
406,69,0,32,9,1
