Id,from,to,fromout,fromin,toout,toin,width,exist,distance
107,2739437,437401,92,131,135,33,16,1,0
108,1527892,973468,438,21,0,16,3,1,0
109,3194188,3563211,17,9,0,4,2,1,0
110,1898943,3004422,8472,641,0,420,113,1,0
111,1549581,2281250,81,7,0,201,0,1,0
112,2994752,2746778,123,16,0,2,0,1,0
113,4066183,3044557,304,140,0,15,1,1,0
114,4689802,3467322,137,10,0,3,0,1,0
115,4346093,3339903,236,72,530,451,17,1,0
116,2565535,1705632,92,32,0,30,0,1,0
117,186482,3382052,1,2,0,10,0,1,0
118,1782043,2483976,258,736,375,273,20,1,0
119,597020,2598658,1603,18,0,5,0,1,0
120,681254,515759,191,6,0,3,1,1,0
121,1896418,1322406,107,37,215,25,5,1,0
122,3866761,1425342,3807,447,0,179,58,1,0
123,3963408,4156116,547,66,0,104,2,1,0
124,1252334,4591546,13,11,102,33,5,1,0
125,4351657,1921608,33,95,89,213,27,1,0
126,2313901,1274362,38,11,0,2,0,1,0
127,2293093,1921608,23,10,89,213,3,1,0
128,948327,4381990,134,58,0,1,0,1,0
129,1783006,4637737,111,18,198,298,2,1,0
130,4233502,4335772,60,8,137761,3425,5,1,0
131,714238,1224134,10,7,9,95,0,1,0
132,4703443,2074583,51,22,0,18,1,1,0
133,647780,2425188,607,113,0,223,23,1,0
134,1991368,3124635,1352,68,0,2,1,1,0
135,3851029,2923913,428,1,359,282,24,1,0
136,4589761,4317901,1825,274,0,2,0,1,0
137,4309525,4834459,72,5,0,11,1,1,0
138,983771,1428397,250,41,0,4,2,1,0
139,1221615,4485836,238,10,0,948,5,1,0
140,4560226,4273433,139,58,648,189,7,1,0
141,582185,4017911,29,567,0,9,0,1,0
142,2199839,3433947,54,4,0,2,0,1,0
143,4166373,2174575,241,24,0,3,1,1,0
144,1677220,793868,114,4,164,343,2,1,0
145,3982875,4302067,161,94,0,1,0,1,0
146,375079,3428989,61390,656,0,19,15,1,0
147,2854187,4777233,66,82,34,38,18,1,0
148,2142478,2867850,248,72,0,36,0,1,0
149,342974,3026380,249,124,10,119,6,1,0
150,3241146,4082283,2234,260,0,311,86,1,0
151,2293262,3090018,71,67,0,12,0,1,0
152,1554274,2595274,7971,669,0,53,36,1,0
153,3980750,2869357,26,4,0,8,0,1,0
154,264508,903712,1943,198,0,278,19,1,0
155,4017809,3432777,631,54,0,11,1,1,0
156,3105271,3319039,1753,254,0,29,5,1,0
157,477784,172179,1075,122,0,96,27,1,0
158,4559108,671281,40,24,0,1,0,1,0
159,157593,3248796,67,41,0,1,0,1,0
160,4204921,2243371,39,19,0,49,1,1,0
161,3670965,3797869,63,26,12468,1121,8,1,0
162,1245143,586701,4681,171,0,17,8,1,0
163,1062392,3534800,582,52,0,2,0,1,0
164,1853770,1854450,51,15,39,1605,13,1,0
165,4088196,849956,261,29,0,177,1,1,0
166,4337299,3108572,89,17,0,1,0,1,0
167,1358861,1911631,5,1,0,22,1,1,0
168,3839393,872191,23,2,0,1,0,1,0
169,2309722,3820356,623,32,0,16,1,1,0
170,2821377,3785031,59,4,0,145,1,1,0
171,4859726,4775661,15,20,18,343,2,1,0
172,137431,3094668,350,82,0,130,7,1,0
173,3042934,498336,120,2,0,1,0,1,0
174,466322,53849,26,29,51,127,11,1,0
175,314521,2567283,64,64,50,17,5,1,0
176,2774680,1382402,112,66,0,14,4,1,0
177,4065091,1701590,5,2,0,2,1,1,0
178,196254,1567934,1344,358,124,1789,27,1,0
179,3510952,2370953,270,24,0,13,0,1,0
180,709969,1302255,789,85,0,10,3,1,0
181,1065574,865417,117,141,0,94,14,1,0
182,4602027,33608,512,48,0,25,4,1,0
183,945467,2138052,173,12,0,176,5,1,0
184,1672761,950414,707,191,0,292,24,1,0
185,4559108,2273302,40,24,104,36,4,1,0
186,3592064,366718,78,15,770,232,5,1,0
187,3222236,4622410,375,40,0,2,1,1,0
188,27113,1871889,586,47,0,30,4,1,0
189,1759001,3273111,128,19,0,8,0,1,0
190,735820,1990015,89,7,0,2,1,1,0
191,3737298,3861574,394,78,12750,781,19,1,0
192,4473007,3858565,286,34,54,2914,16,1,0
193,2509263,3138458,174,14,80,29,9,1,0
194,1273202,4138422,4,3,369,551,2,1,0
195,4599044,1786898,64,5,0,41,0,1,0
196,3222869,235890,307,365,0,115,19,1,0
197,1594205,2101400,211,3,0,2,0,1,0
198,120245,2648695,153,76,18490,412,7,1,0
199,3447583,3255598,101,24,0,50,2,1,0
200,1757199,4575367,97,6,0,194,0,1,0
201,3361990,2479402,52,1,0,3,0,1,0
202,3887405,125499,63,7,0,2,1,1,0
203,3391118,4430006,82,35,305,51,16,1,0
204,4599917,307044,62,12,0,10,1,1,0
205,2957952,214937,7231,110,7803,351,20,1,0
206,1374515,2249980,1346,125,0,301,40,1,0
207,117634,3449172,130,12,0,33,2,1,0
208,3344976,102014,32,4,284,54,0,1,0
209,341584,3293119,15,85,66,562,2,1,0
210,3531345,2330035,151,365,24,126,27,1,0
211,2311120,2832758,154,19,0,70,14,1,0
212,4717793,4500624,127,24,0,223,0,1,0
213,2249738,279069,54,2,29554,1256,1,1,0
214,1149332,3937247,177,7,0,4,0,1,0
215,4089643,2914122,67,1,0,13,1,1,0
216,1114808,4566232,110,63,0,56,1,1,0
217,2117982,1810970,182,29,2466,239,13,1,0
218,2542077,2631616,9211,2058,0,13,2,1,0
219,3600589,3507982,143,13,0,18,0,1,0
220,1339912,3246640,218,58,3324,299,12,1,0
221,1372853,1720132,282,25,0,3,0,1,0
222,4199229,2902952,1404,212,0,269,15,1,0
223,1602572,4230491,63,28,0,32,4,1,0
224,2405299,3751986,11,5,0,113,0,1,0
225,751578,2410026,1,12,58,21,0,1,0
226,1414902,324395,4,372,282,908,2,1,0
227,4621896,1062295,788,242,829,168,79,1,0
228,656660,4356567,275,36,0,22,4,1,0
229,2623340,2733878,427,34,0,1,0,1,0
230,3325485,3515596,210,28,0,48,5,1,0
231,1031450,4787021,64567,1036,0,77,65,1,0
232,1100460,3116729,113,424,32035,1337,50,1,0
233,921502,3171212,99,12,0,15,0,1,0
234,3240331,1631000,292,31,0,8,1,1,0
235,2643058,331015,847,97,0,59,23,1,0
236,4666352,3531730,89,3,0,9,1,1,0
237,988564,314520,19,2,764195,4841,1,1,0
238,12252,242945,361,121,0,10,4,1,0
239,37307,3086181,59,38,1935,835,19,1,0
240,541227,954769,90,19,0,27,2,1,0
241,4673217,610608,285,28,0,1769,12,1,0
242,878743,595973,25,319,214,1141,4,1,0
243,254005,4168533,226,31,0,1,0,1,0
244,1400931,3589351,154,7,0,2,0,1,0
245,3498015,1038311,81,18,0,6,0,1,0
246,1800827,4133034,3932,75,0,14,4,1,0
247,1712559,2668838,31,14,0,81,4,1,0
248,2010726,4845280,34,7,727,114,0,1,0
249,3749530,1841716,182,29,0,12,2,1,0
250,1538019,1245442,151,90,0,76,0,1,0
251,2297882,2950820,1057,187,0,5,2,1,0
252,821382,4398692,114,101,244,449,21,1,0
253,2982965,4114928,226,45,0,5,2,1,0
254,2445963,3268693,474,40,0,15,0,1,0
255,2047203,3230600,1152,411,887,173,61,1,0
256,4553362,2341563,8,11,0,4,0,1,0
257,2164543,1042104,45,39,0,5,0,1,0
258,508784,66099,169,38,0,13,1,1,0
259,1804304,3312321,5273,102,0,63,43,1,0
260,3956805,723838,380,53,0,1,0,1,0
261,4860738,992654,492,36,0,336,12,1,0
262,3955072,2703171,268,129,0,19,1,1,0
263,4014536,2275754,96,20,111,457,6,1,0
264,1390256,4521082,190,183,0,93,12,1,0
265,3172513,4307990,45,4,690,2605,3,1,0
266,3159458,2187428,16,2,0,41,0,1,0
267,3211865,1065899,89,3,0,100,1,1,0
268,4335232,3303776,389,29,0,64,3,1,0
269,464793,3762231,201,521,0,7,1,1,0
270,950062,722648,129,16,0,13,0,1,0
271,2139012,1577327,41,7,0,31,4,1,0
272,2474292,3921578,4628,117,0,272,88,1,0
273,4204327,2520407,365,26,0,7,0,1,0
274,4459395,3058278,296,62,0,42,11,1,0
275,2959192,2235302,270,36,0,81,0,1,0
276,4034554,3926810,142,16,0,53,0,1,0
277,3709673,2494027,47,34,0,170,1,1,0
278,4178598,2878509,151,35,0,59,9,1,0
279,4759666,2958092,360,73,14444,578,47,1,0
280,13127,498588,12,4,0,10,0,1,0
281,3205946,2234660,67,28,0,6,1,1,0
282,4109699,4531514,91,31,60771,1533,17,1,0
283,1768992,619516,31,93,22,601,2,1,0
284,2716243,2063717,16,4,100,2098,1,1,0
285,1903960,850086,411,14,0,9,1,1,0
286,3682129,1169179,783,45,0,27,1,1,0
287,4602332,3155686,64,7,0,24,0,1,0
288,2298856,4273137,127,32,0,2,0,1,0
289,3107416,3001434,193,105,379,227,25,1,0
290,1961196,2894417,318,47,0,194,6,1,0
291,153969,4748450,265,13,0,33,2,1,0
292,3800471,994610,20,17,0,11,1,1,0
293,71431,1234396,3,97,815,110,2,1,0
294,3489029,3671655,54,43,0,54,13,1,0
295,2264907,3756641,432,63,0,47,2,1,0
296,4709827,1117421,395,18,0,91,1,1,0
297,4782773,874086,23,32,0,14,0,1,0
298,2101384,4346149,19,5,75,26,1,1,0
299,3627577,3476029,181,43,0,36,5,1,0
300,116337,1649316,279,46,0,4,1,1,0
301,103983,3222553,437,59,1235,80,13,1,0
302,4105208,2881876,1520,37,0,334,8,1,0
303,1416217,4769795,58,21,557,101,10,1,0
304,4067626,2884115,637,39,0,361,5,1,0
305,2135035,879872,206,250,31,8,5,1,0
306,2749900,1642533,1754,22,0,3,0,1,0
307,3056119,4512549,154,19,0,73,0,1,0
308,1322406,4038133,215,25,0,12,0,1,0
309,2960932,4512905,216,113,105794,3193,45,1,0
310,3501464,4298788,5761,202,0,69,10,1,0
311,2001152,290327,289,83,7232,648,51,1,0
312,1005123,61694,159,31,0,17,0,1,0
313,2692561,2212502,1054,146,0,10,1,1,0
314,2855744,1473326,1083,110,0,28,4,1,0
315,2398180,4803750,296,60,7561,1999,31,1,0
316,4749011,432969,140,48,387,844,21,1,0
317,1985328,1114808,302,112,110,63,16,1,0
318,575771,1244144,96,6,0,26,0,1,0
319,3460183,3077661,100,18,0,5,3,1,0
320,2377399,69425,1,2,47,26,0,1,0
321,4065737,2141637,68,22,0,26,1,1,0
322,825245,3789418,1645,109,0,10,3,1,0
323,248016,2269661,234,93,976,190,46,1,0
324,2717523,3760641,8969,350,0,202,86,1,0
325,1628815,2764377,1847,75,0,75,9,1,0
326,967975,1516554,2161,124,637,751,65,1,0
327,1358861,1911631,5,1,0,22,1,1,0
328,2606457,1357566,209,25,0,2,0,1,0
329,2783139,2901506,179,11,0,1,0,1,0
330,3423912,725711,932,213,0,116,17,1,0
331,1847233,2747593,294,48,0,4,1,1,0
332,4432256,4582936,2328,18,0,2,1,1,0
333,528952,4368678,58,20,408,89,0,1,0
334,2421797,419221,196,32,0,20,3,1,0
335,1214720,1085865,288,105,0,38,4,1,0
336,4628883,2566750,157,94,0,2,1,1,0
337,1896768,3778221,31,8,0,279,5,1,0
338,1936741,1263012,430,121,0,98,31,1,0
339,1324975,1937736,582,108,1823,166,17,1,0
340,3984788,4526987,67,7,0,1,0,1,0
341,3296967,926413,161,10,0,1,0,1,0
342,4860359,4138422,46,97,369,551,14,1,0
343,3473434,3032808,2295,185,0,1,0,1,0
344,3368313,2855484,38,8,0,1,0,1,0
345,2102235,2949597,61,15,0,9,5,1,0
346,2204169,1383080,20,5,0,10,0,1,0
347,1311667,1714406,2,1,0,1,0,1,0
348,4135625,2056463,325,25,0,3,0,1,0
349,1257837,3471140,50,259,14,374,1,1,0
350,4450018,1283983,42,5,0,20,1,1,0
351,1166507,4377659,92,35,0,18,3,1,0
352,1740775,3441826,505,49,161,51,1,1,0
353,1267533,3871281,234,180,0,18,1,1,0
354,3824878,862789,22,82,0,11,0,1,0
355,2805900,2524086,1985,199,41,22,16,1,0
356,125920,4217847,18,135,0,56,1,1,0
357,783304,1051126,187,319,1173,164,8,1,0
358,3056473,4605714,34,4,0,1,0,1,0
359,1383730,3269524,1,1,27,33,0,1,0
360,2782588,377979,81,12,1473,112,1,1,0
361,2247912,3739167,3324,263,0,179,81,1,0
362,526181,4119085,543,277,974,268,38,1,0
363,2590145,1824752,727,49,0,117,3,1,0
364,4502182,238192,240,44,119,195,15,1,0
365,842371,3248045,39,6,0,1,0,1,0
366,338660,2267301,16,3,0,1,0,1,0
367,426650,678055,6,38,381,480,1,1,0
368,3945866,375134,238,215,1558,1316,36,1,0
369,2527051,2132201,33,2,0,4,0,1,0
370,709358,4025327,271,38,0,183,5,1,0
371,1283291,1787518,587,135,0,98,16,1,0
372,2052940,3875119,3831,351,0,5,2,1,0
373,3915065,4425335,1163,59,0,10,0,1,0
374,1305640,499812,1185,142,0,101,20,1,0
375,4016401,3521049,53,4,0,1,0,1,0
376,1526208,1023050,213,26,0,14,4,1,0
377,1960442,4099736,68,28,0,6,0,1,0
378,92815,2847548,157,29,1597,295,5,1,0
379,1039237,4368618,45,3,0,2,0,1,0
380,1959626,3388727,76,5,0,6,0,1,0
381,2052940,2591340,3831,351,0,1,0,1,0
382,1165339,1402492,38,5,0,5,2,1,0
383,4190683,3299793,138,71,171,74,19,1,0
384,2647617,2654023,197,7,0,59,3,1,0
385,1850095,2297524,50,9,0,22,1,1,0
386,3243518,243762,596,58,0,3,2,1,0
387,3250314,2528134,108,26,0,15,0,1,0
388,2592817,2507422,14,31,53,28,0,1,0
389,2598506,977855,68,566,5587,1172,11,1,0
390,1414744,826086,61,19,414420,2821,5,1,0
391,4050961,4236076,65,11,0,58,6,1,0
392,3630430,776567,114,7,0,1045,1,1,0
393,23381,4010474,102,28,0,82,1,1,0
394,654708,11496,817,126,0,154,8,1,0
395,2263546,2390196,17,17,149,135,10,1,0
396,4804613,3408919,1132,100,0,8,3,1,0
397,4082802,4549710,172,31,0,70,5,1,0
398,1623904,2031882,182,69,4,60,4,1,0
399,3035571,1801504,74,18,48,15,14,1,0
400,2212291,1376929,2099,283,0,23,0,1,0
401,1339496,2122275,137,4,0,176,0,1,0
402,3989273,50225,443,16,0,4,0,1,0
403,3654432,3908047,255,250,0,2,0,1,0
404,4114198,2992472,572,21,0,72,5,1,0
405,899362,1604239,2,5,1041,52,1,1,0
406,34982,4719960,170,21,168,65,11,1,0
407,723917,2623624,59,23,767,274,12,1,0
408,4823970,2008989,1353,444,0,67,10,1,0
409,3859641,1471140,1219,48,0,74,12,1,0
410,1313066,2612948,339,95,0,3,2,1,0
411,2234683,1418525,108,25,108,220,7,1,0
412,2580683,4396885,272,43,0,34,3,1,0
413,1962266,2085857,4,127,0,46,0,1,0
414,2801532,95551,42,4,0,42,1,1,0
415,2252701,4426247,91,24,0,4,0,1,0
416,1665743,1281054,65,39,0,16,1,1,0
417,3249720,1576890,126,5,0,1,0,1,0
418,2102588,4112620,5330,64,0,29,13,1,0
419,2887585,2487778,937,115,0,19,7,1,0
420,3315963,2788349,1029,120,0,149,23,1,0
421,3516216,1361870,161,21,0,1,0,1,0
422,4101573,919611,252,20,0,10,3,1,0
423,1528822,3119494,488,21,0,58,13,1,0
424,4310964,2719251,133,66,1348,1838,10,1,0
425,1722909,1336857,81,20,0,128,1,1,0
426,438617,554579,861,148,0,105,11,1,0
427,2749730,4615655,153,63,0,51,4,1,0
428,3045075,4636093,50,34,0,12,2,1,0
429,3748719,4179210,109,7,20,663,4,1,0
430,1414396,1265343,62,38,89,73,15,1,0
431,1087939,3124580,505,602,0,31,6,1,0
432,3052923,1938743,173,17,0,2,0,1,0
433,4171949,1504616,29,28,0,15,0,1,0
434,459560,962316,58,18,326,108,6,1,0
435,3292349,4599309,211,10,887,216,1,1,0
436,3388683,4818741,894,82,0,3,1,1,0
437,2904036,2762693,373,139,0,35,11,1,0
438,3432471,1237830,1515,93,0,129,11,1,0
439,4409126,4508063,428,93,0,2,1,1,0
440,3956108,379683,182,75,2027,510,12,1,0
441,1326633,4440747,13,11,0,25,2,1,0
442,3361219,544794,365,96,0,8,0,1,0
443,2123054,1924588,70,26,0,1,0,1,0
444,154667,1547658,72,23,442,471,4,1,0
445,4073817,97400,35,4,0,30,2,1,0
446,2011827,1856676,19,6,197,236,16,1,0
447,65118,4249282,564,41,0,48,1,1,0
448,84769,2719251,246,256,1348,1838,63,1,0
449,3565665,3894003,69,12,2527,458,0,1,0
450,3966599,2143656,354,67,11,444,5,1,0
451,2000353,1733811,4,5,25,103,2,1,0
452,2219009,502555,184,39,0,2,1,1,0
453,967697,4834019,389,149,0,1,0,1,0
454,1442621,3736737,31,10,0,22,0,1,0
455,2719064,4237503,521,35,0,2,1,1,0
456,2456239,3843081,67,3,0,25,1,1,0
457,1153694,1233208,130,21,0,3,1,1,0
458,2208491,221452,897,169,0,283,29,1,0
459,1943884,3956199,1343,62,0,1,0,1,0
460,2248908,2137369,3999,99,0,92,76,1,0
461,212672,4084051,923,218,0,71,5,1,0
462,4805219,2836567,254,20,0,29,0,1,0
463,4244235,4706717,247,200,3,16,11,1,0
464,792327,94485,372,125,229,82,55,1,0
465,1279890,4079011,16,13,0,10,0,1,0
466,1485631,1172556,658,65,0,9,0,1,0
467,690694,2662657,77,3,0,124,0,1,0
468,4839837,3794312,12403,334,0,151,99,1,0
469,659357,4526256,137,709,0,5,1,1,0
470,1597356,389507,72,2,0,38,0,1,0
471,2870085,1501545,79,15,539,1253,2,1,0
472,3606146,1694130,91,20,0,1,0,1,0
473,321272,3712927,7,219,0,84,0,1,0
474,3582663,2133355,43,30,50,24,10,1,0
475,3225818,1072950,1488,106,0,4,1,1,0
476,4793546,3328714,966,32,0,2,1,1,0
477,4690803,2242388,726,24,0,3,0,1,0
478,2416482,1747062,4728,444,0,36,22,1,0
479,2264633,4619974,150,10,0,60,1,1,0
480,4662328,1179333,1349,113,0,56,7,1,0
481,3523955,1162437,1952,176,0,98,35,1,0
482,3371715,3271644,482,79,0,22,3,1,0
483,2813228,3790882,98,43,0,32,1,1,0
484,1400931,2699812,154,7,0,200,0,1,0
485,2603490,770447,996,1035,0,2,1,1,0
486,201420,2165841,296,31,106,327,15,1,0
487,138818,3057361,480,32,0,3,1,1,0
488,1863273,4480824,190,149,0,12,3,1,0
489,529727,4801585,139,55,196,64,20,1,0
490,2379752,3506620,2628,61,0,17,2,1,0
491,2292718,1591208,2431,156,0,16,5,1,0
492,3222869,4455117,307,365,0,22,9,1,0
493,4307614,1593409,103,22,0,153,1,1,0
494,3278242,1185607,76,19,0,13,9,1,0
495,2869115,2773491,184,584,0,2,0,1,0
496,4097702,3968109,7,1,0,35,0,1,0
497,3242848,3618731,209,37,0,330,4,1,0
498,4082802,1023327,172,31,0,133,4,1,0
499,3603353,2377884,186,6,0,63,8,1,0
500,2847103,2483874,4857,153,0,7,1,1,0
501,4577760,2560466,1,4,4103,323,0,1,0
502,3049965,1861622,221,43,0,267,12,1,0
503,1377877,2267732,41,58,708,146,20,1,0
504,3006077,675130,166,14,0,112,0,1,0
505,756323,874937,1953,40,0,5,4,1,0
506,4269300,384960,18881,355,0,77,51,1,0
507,3302246,4849666,3108,427,0,101,38,1,0
508,4612320,216569,136,25,0,24,3,1,0
509,826632,2117296,89,23,89,462,5,1,0
510,669131,1320803,9,2,33,4,1,1,0
511,2094968,1458404,171,32,74,182,2,1,0
512,3133181,419754,1396,111,0,9,2,1,0
513,2928587,2570976,503,27,0,18,2,1,0
514,4270778,3126908,2,87,50,33,0,1,0
515,3331683,3481643,80,9,0,9,0,1,0
516,1390450,2749552,194,43,0,25,0,1,0
517,2904873,2148825,131,90,0,35,5,1,0
518,2012545,576395,43,2,0,1,0,1,0
519,586142,4409464,196,37,0,7,3,1,0
520,4574181,3287708,610,26,0,74,6,1,0
521,1215996,1409196,42,263,56,173,3,1,0
522,673038,1486052,180,32,0,3,1,1,0
523,1873556,4818803,72,4,0,1353,5,1,0
524,3635658,3887153,14,6,72,21,2,1,0
525,3723644,3764490,37,12,668,302,15,1,0
526,2607822,4676225,106,18,0,7,1,1,0
527,2871876,1100460,306,110,113,424,26,1,0
528,1196010,2611491,7,5,418,72,1,1,0
529,1012499,2733376,5573,193,0,81,33,1,0
530,491510,3016515,90,54,53,202,11,1,0
531,743994,2351812,6386,75,0,40,2,1,0
532,959717,3674278,285,30,0,5,0,1,0
533,2274809,4038595,115,5,2746,373,2,1,0
534,3611035,1720071,103,52,125,42,13,1,0
535,1965930,1063697,2418,240,20786,475,47,1,0
536,2512550,1145858,354,25,0,25,1,1,0
537,2964082,2511740,50,55,188,283,23,1,0
538,2607082,97785,781,27,0,2,0,1,0
539,1976854,1065617,3,1,118,95,0,1,0
540,4833679,2204569,234,6,0,8,0,1,0
541,4637737,4729548,198,298,0,13,2,1,0
542,2033249,3489263,7221,173,0,74,38,1,0
543,2827000,20412,166,314,0,8,2,1,0
544,579736,4548270,1,8,0,2,0,1,0
545,4565891,3487676,463,84,1921,2951,40,1,0
546,3882015,788627,33,3,0,1,0,1,0
547,4836979,1696362,152,55,0,32,3,1,0
548,4428637,4042716,8,83,0,11,1,1,0
549,1355168,1488225,296,114,0,6,4,1,0
550,3651037,4451730,66,90,0,381,2,1,0
551,3127952,2174314,23,2,34,32,1,1,0
552,133153,307914,36,384,0,18,0,1,0
553,3158778,3197835,6,220,0,12,0,1,0
554,3994945,569861,609,39,0,80,6,1,0
555,2473666,3641299,1042,97,0,14,4,1,0
556,1989295,168604,452,87,89464,1630,23,1,0
557,1022530,3003605,4704,136,0,771,110,1,0
558,1213190,933607,1225,419,0,620,65,1,0
559,587469,3553765,5885,606,0,191,85,1,0
560,3654032,194825,78,97,68,12,2,1,0
561,1911325,1887803,117,19,98625,2466,4,1,0
562,3350974,1296711,681,13,0,2,1,1,0
563,3918041,1681371,225,27,0,43,0,1,0
564,3565891,776675,354,120,95,71,35,1,0
565,585216,4517256,6975,214,1978,167,22,1,0
566,1274819,3913170,142,62,624,103,12,1,0
567,4225428,2045257,362,102,0,130,17,1,0
568,1309047,1908672,39,22,59,39,14,1,0
569,964209,1966165,234,40,0,204,13,1,0
570,2160384,3948686,4,2,0,1,0,1,0
571,749788,478941,220,43,0,74,4,1,0
572,607609,3600705,305,39,0,64,0,1,0
573,2507678,1810683,121,8,0,218,6,1,0
574,3408999,1140539,165,82,220,657,55,1,0
575,840904,4849584,737,12,0,1,0,1,0
576,1263343,302185,1121,85,0,319,29,1,0
577,169537,1664101,70,22,0,3,0,1,0
578,3980544,1125088,89,10,0,17,0,1,0
579,1051687,1132304,202,32,0,57,7,1,0
580,1171780,1393833,150,42,0,24,6,1,0
581,2800207,3949136,226,15,0,13,2,1,0
582,728109,385560,25,3,0,2,0,1,0
583,3349552,3101570,153,2,189,302,15,1,0
