Id,from,to,fromout,fromin,toout,toin,width,exist
66,992662,2985587,606,84,42857,2014,26,1
67,528952,4368678,58,20,408,89,0,1
68,1055218,54959,16,9,663,70,0,1
69,617845,1985438,153,39,0,23,1,1
70,602191,2453780,560,41,85785,2664,36,1
71,906254,3219695,64,13,0,167,6,1
72,4312991,2869561,1736,346,0,5,3,1
73,457472,1760493,859,92,0,292,19,1
74,2927805,3738589,19,4,0,4,0,1
75,2663754,3345035,174,9,0,1,0,1
76,4188689,4003824,27,4,0,1,0,1
77,3649277,4544390,250,103,0,20,3,1
78,4423290,2488512,461,62,0,29,9,1
79,2070719,913549,43,7,0,55,0,1
80,3317939,4832214,931,83,0,92,11,1
81,4276260,3953610,10704,303,0,8,1,1
82,2298394,1611365,1809,159,23683,577,50,1
83,72240,3452736,564,51,0,51,0,1
84,4267217,2445179,125,13,0,1,0,1
85,1670088,2632170,121,49,0,550,1,1
86,2973465,2989671,1,4,54,14,0,1
87,3025006,2425643,246,59,0,1,0,1
88,4140900,1931447,23,38,0,54,3,1
89,1826568,2683224,184,16,0,82,6,1
90,4251683,2136233,702,71,0,52,8,1
91,3198495,847077,598,62,0,85,16,1
92,1289934,3456004,21,8,262,103,0,1
93,4692800,3279085,689,65,0,4,1,1
94,2905977,649221,44,118,0,307,0,1
95,307407,3856133,37,12,0,10,0,1
96,334135,3560983,10,6,15,1841,2,1
97,4064181,2898954,80,40,460,154,1,1
98,4570262,271180,1425,155,0,41,9,1
99,3679680,582185,366,146,29,567,6,1
100,2603310,3672635,134,81,0,4,1,1
101,3479105,1454119,125,1,128,43,0,1
102,2104911,586648,73,12,0,29,1,1
103,430305,777206,141,18,0,1,0,1
104,4050238,4222813,21,14,50,32,5,1
105,1006137,4826478,282,52,216,416,12,1
106,371502,3797869,871,166,12468,1121,92,1
107,4778067,3019840,63,130,0,3,0,1
108,1548346,2598640,43,36,24183,919,8,1
109,2984024,,0,5,0,0,0,0
110,4628883,2688381,157,94,0,3,0,1
111,1148998,1868864,84,18,0,21,14,1
112,3970375,3766362,77,43,236,94,17,1
113,3180891,4324413,17,9,336,840,4,1
114,2344175,3127502,113,29,0,1,0,1
115,861502,4527207,335,89,170,8,1,1
116,2057327,1890818,415,23,0,3,0,1
117,2783139,1694877,179,11,0,3,0,1
118,3795772,199567,4945,158,0,96,84,1
119,1721573,3664715,1981,217,170,42,13,1
120,4189530,902355,342,69,0,5,1,1
121,3933948,3089809,35,13,124,21,10,1
122,2626103,655535,1293,205,0,19,9,1
123,3720302,2831107,62,93,0,137,0,1
124,3613557,81647,45,1,170,251,2,1
125,1584295,4119029,58,6,0,1,0,1
126,727071,1787293,81,522,799,229,9,1
127,2376118,3585855,545,207,0,72,3,1
128,445304,4613811,186,21,238,920,5,1
129,2895505,4089844,998,22,0,34,6,1
130,3894288,4273178,823,59,0,26,5,1
131,3645395,227418,587,43,0,2,0,1
132,680628,3902784,139,30,936,90,0,1
133,2653788,2634231,105,11,213,1349,22,1
134,3839495,3962059,17372,286,0,294,44,1
135,2538796,809460,1322,79,0,29,11,1
136,4122499,2722851,419,142,0,23,0,1
137,632998,,0,16,0,0,0,0
138,2478517,2907106,64,9,0,7,0,1
139,2259381,1122010,101,63,0,47,11,1
140,196864,529209,92,28,1057,223,19,1
141,1910675,2433475,792,50,0,4,0,1
142,3468411,896368,1608,230,0,26,11,1
143,1463948,1143316,88,20,0,1,0,1
144,2333482,3716925,56,29,0,3,1,1
145,3549354,822215,313,36,0,177,0,1
146,3321504,2980944,48,6,16,431,0,1
147,976715,330650,53,38,129,50,21,1
148,949168,4512905,101,5,105794,3193,5,1
149,4475272,1669102,1,563,2462,417,0,1
150,382891,1078569,1624,329,0,7,1,1
151,3871495,3165355,230,17,0,9,0,1
152,1266426,3285490,802,109,0,13,7,1
153,4151667,122572,1363,87,0,47,13,1
154,180873,2625251,383,44,866,290,6,1
155,835548,3623442,15,4,0,1,0,1
156,3595280,36312,91,41,159,34,12,1
157,1194782,4404872,150,59,0,57,10,1
158,3174311,4134371,1225,37,0,2,1,1
159,983970,655755,101,12,0,3,1,1
160,2220757,3578669,511,73,0,2,0,1
161,891578,2618938,165,59,0,1,0,1
162,2536065,2224215,158,11,0,8,1,1
163,2007869,273619,636,12,0,60,2,1
164,443258,1387383,212,26,0,11,1,1
165,2269661,3886694,976,190,0,279,15,1
166,3116667,391993,118,7,0,22,2,1
167,4102910,194774,138,14,12713,551,4,1
168,2203278,932510,194,26,0,9,1,1
169,2622963,4443606,39,7,0,2,0,1
170,1172966,991028,1081,57,0,5,1,1
171,1151395,375873,11,5,0,19,0,1
172,945061,1194204,13,15,72,19,3,1
173,2003976,4803750,252,72,7561,1999,59,1
174,1084257,28187,38,7,0,3,0,1
175,4173616,3596296,11,3,7,173,0,1
176,3442587,1570166,139,16,22,3,2,1
177,351453,4054359,105,14,0,25,9,1
178,3649636,1537074,283,69,0,4,2,1
179,151695,2667507,627,40,0,26,3,1
180,3262637,2934270,282,120,0,12,5,1
181,2341697,3663205,145,9,0,26,3,1
182,252830,3715637,487,194,450,170,49,1
183,1604918,4081045,92,13,0,46,0,1
184,3970375,4407748,77,43,121,96,16,1
185,4617432,802325,4328,60,0,1,0,1
186,935723,2191639,254,84,0,1,0,1
187,4801585,161172,196,64,77,45,1,1
188,2313742,1948848,1950,1,0,1,0,1
189,689225,86673,1030,199,0,41,3,1
190,354349,337550,138,42,0,1,0,1
191,2111132,1001454,4861,262,0,23,6,1
192,1444025,2298827,2548,180,0,5,0,1
193,1376338,1683547,29,6,0,53,2,1
194,3296313,3239389,375,68,3486,418,30,1
195,3639123,2251456,324,68,0,35,6,1
196,4807802,4001987,435,31,0,11,2,1
197,4519944,3858565,36,3,54,2914,1,1
198,2937543,4494972,284,77,0,2,1,1
199,1167169,,0,169,0,0,0,0
200,3952961,1559604,547,94,0,296,29,1
201,1261346,2619084,13,4,2000,363,5,1
202,2021893,1198888,6,65,124,694,3,1
203,487468,2857577,40,22,0,7,0,1
204,2498716,3313633,107,121,0,2,0,1
205,280295,190971,42,132,124,1117,7,1
206,2631029,4632770,180,102,424,172,39,1
207,2438574,504976,60,10,0,6,0,1
208,765716,864256,19,4,3156,55,0,1
209,3077611,724096,189,62,0,50,1,1
210,3292577,4500624,47,7,0,223,0,1
211,3096232,2853155,3,3,27,175,0,1
212,1845278,2006237,77,23,0,358,1,1
213,1843401,4588620,9,13,0,3,0,1
214,1253347,81647,166,15,170,251,2,1
215,2843916,4236098,80,38,0,11,3,1
216,3797834,2096855,2155,185,5929,169,50,1
217,462945,2313552,71,5,0,3,0,1
218,885598,2071946,1978,114,0,5,2,1
219,73148,4551376,21,2,114,22,2,1
220,1851928,1486774,1010,127,0,70,11,1
221,912656,2761840,21,13,0,1,0,1
222,2788194,2444318,27,3,0,1,0,1
223,443258,4766796,212,26,0,24,4,1
224,776267,4381889,142,20,177,54,11,1
225,1693008,3407434,117,37,0,1,0,1
226,2589737,1921875,273,20,0,42,1,1
227,2378343,2481333,352,11,0,32,6,1
228,719381,2003274,137,92,0,73,20,1
229,1937736,2104025,1823,166,328,76,10,1
230,2931365,697676,34,5,175,15,0,1
231,4050694,768551,81,8,0,16,2,1
232,3486322,3861331,32,206,0,178,5,1
233,2739558,3558819,2022,202,11270,1176,72,1
234,1734700,4741064,309,168,0,20,2,1
235,2321787,1216595,1257,80,0,1,0,1
236,4715761,1863366,35,4,0,3,0,1
237,496717,3698721,2,1,0,1,0,1
238,2434879,3698903,186,22,0,3,0,1
239,4240583,397740,61,25,0,607,4,1
240,3322933,193463,40,16,9420,317,10,1
241,324947,3766040,255,15,0,22,7,1
242,3339770,1124539,63,80,2083,253,13,1
243,4389857,713720,20,5,127,318,4,1
244,2869707,3504961,75,6,0,13,0,1
245,3180707,897309,3462,247,0,7,3,1
246,3184734,296570,630,75,0,1,0,1
247,166225,2533391,90,9,782,361,5,1
248,1663780,1870948,30,3,0,1,0,1
249,1655858,532978,98,15,0,7,0,1
250,1701204,,0,2,0,0,0,0
251,1621106,4514220,270,42,0,974,5,1
252,1655713,3755905,32,20,20,30,13,1
253,916185,3863575,282,61,0,254,9,1
254,776675,2782050,95,71,62,284,17,1
255,3879276,2679789,8,1,0,160,0,1
256,937259,1770759,10073,126,0,5,0,1
257,1438619,1924231,50,4,0,5,0,1
258,4637922,,0,12,0,0,0,0
259,4065542,4150328,22352,285,0,147,69,1
260,1471805,4251589,308,28,0,176,5,1
261,804782,4540082,110,9,0,75,2,1
262,3533896,1974627,313,484,0,237,18,1
263,558840,3371040,22,2,0,1,0,1
264,4623329,4051652,1176,397,0,158,28,1
265,2145668,4461503,2689,365,0,26,10,1
266,2956990,4727269,3,1,411,116,0,1
267,1680524,4561064,229,25,0,21,2,1
268,1863844,2869788,212,63,0,2,1,1
269,2993066,1198888,17,18,124,694,4,1
270,1029324,2480730,46,37,381,95,20,1
271,2397753,895479,1367,238,3138,132,28,1
272,4089643,1877011,67,1,163,2921,7,1
273,339984,2294766,15,2,0,15,0,1
274,1225539,3846953,83,28,0,2,0,1
275,4367891,160593,906,35,0,42,6,1
276,4586253,2492735,143,35,0,16,0,1
277,561975,2708574,4,38,346,106,0,1
278,2001084,1399218,27,6,0,1,0,1
279,2226620,3814479,56,19,0,1,0,1
280,2139821,3629517,71,13,0,4,1,1
281,2314107,4842139,3039,252,0,67,32,1
282,1268655,3290427,79,67,0,8,0,1
283,3829269,3018910,187,5,0,11,2,1
284,2304936,1305650,18,1,0,2,0,1
285,339493,1169751,12563,340,0,14,5,1
286,4187393,2843039,53,32,0,4,0,1
287,2858319,4570416,222,77,827,218,47,1
288,3733429,4104244,2933,440,0,7,2,1
289,2587612,2478178,216,45,0,29,7,1
290,3754623,760273,93,199,8414,1283,43,1
291,3471140,345920,14,374,0,90,0,1
292,3001323,3285833,36,13,0,1,0,1
293,4733831,165498,5,177,125,529,3,1
294,2235844,945016,906,248,0,189,30,1
295,1252795,4129919,54,55,15,78,11,1
296,1043913,1886225,236,42,0,1,0,1
297,4586195,3838822,312,41,0,268,15,1
298,912656,4158699,21,13,35,18,9,1
299,2704663,2915872,3854,79,0,187,28,1
300,1690949,3981818,386,225,317,791,14,1
301,695626,4244730,886,182,0,22,9,1
302,1872437,339922,149,17,0,69,1,1
303,4848355,2520333,19,6,0,14,1,1
304,1904157,1724222,842,79,695,249,17,1
305,1712498,1101016,12,10,4,23,0,1
306,2050962,3204568,27,7,0,48,2,1
307,3385085,4211438,57,21,0,1,0,1
308,595529,3774200,112,25,0,25,7,1
309,2782609,2757045,86,8,0,83,0,1
310,4455162,3902710,423,105,0,1,0,1
311,4236097,797860,11,4,0,1,0,1
312,3745051,4764268,46,4,584,29,2,1
313,1500826,1051004,3161,131,0,38,17,1
314,1072208,4668155,20,1,53,556,0,1
315,2038148,4826891,343,8,0,1,0,1
316,58056,189729,229,468,73,75,3,1
317,3010844,2045063,41,18,213,97,9,1
318,4188066,3544020,41,14,9,135,0,1
319,557798,3158713,32,25,13,14,3,1
320,2367005,1082221,3,1,292,61,0,1
321,797557,1648838,357,231,0,244,38,1
322,1453457,3807851,69,8,0,30,2,1
323,2343851,3628524,231,77,0,9,2,1
324,3322206,1195155,185,119,182,108,40,1
325,4176784,1859805,55,72,91,24,3,1
326,1651111,1886763,1096,129,0,24,5,1
327,3168455,2717694,254,13,0,85,3,1
328,1334864,1710407,118,63,258,35,10,1
329,1553028,4391496,175,34,0,16,10,1
330,803813,3395838,17,15,81,33,7,1
331,2488109,854869,408,47,0,313,25,1
332,1299205,1450322,234,7,140,508,25,1
333,2810543,1450322,100,21,140,508,14,1
334,2436805,4556546,28,5,0,1,0,1
335,4591079,2015536,212,11,0,4,1,1
336,3954408,802716,31,90,0,10,1,1
337,202937,4360722,2968,282,0,241,101,1
338,3174693,2279047,162,18,0,4,0,1
339,1885440,1579078,262,18,0,663,1,1
340,497966,511601,568,46,0,74,12,1
341,4760816,4052425,96,20,0,43,8,1
342,415265,2570211,175,160,187,92,16,1
343,4650378,102564,35,4,0,1,0,1
344,839746,4130771,139,26,0,158,2,1
345,2498255,3046813,7820,227,0,41,13,1
346,1521834,2368517,655,186,0,6,0,1
347,4424280,2430155,20,7,0,6,0,1
348,3306387,67188,127,6,0,3,0,1
349,1003727,412622,51,4,0,15,0,1
350,2192220,686368,524,47,0,7,1,1
351,3161587,3316371,57,4,0,1,0,1
352,1321984,4397066,6,31,4932,751,2,1
353,2565457,139647,86,22,54,13,5,1
354,577461,2944637,98,19,0,1,0,1
355,3299703,2027094,3,2,136,352,1,1
356,2094968,4855640,171,32,0,11,1,1
357,54959,2963549,663,70,39,627,3,1
358,4132984,2007227,81,4,107,1795,11,1
359,4338676,3527612,17,9,17,9,3,1
360,2250169,1847774,269,38,0,52,6,1
361,3909015,84679,14,3,0,1,0,1
362,709909,1616283,102,12,0,5,3,1
363,4223973,833171,249,50,0,271,16,1
364,4371703,4453844,5,93,342,120,4,1
365,441699,34372,2046,86,0,4,1,1
366,2655450,4382329,1165,114,0,59,15,1
367,1152166,1749393,83,12,0,5,0,1
368,1220727,3008982,256,30,0,1,0,1
369,4239802,4233838,277,27,153,798,24,1
370,3517176,3383787,98,5,292,67,3,1
371,1889599,2492113,269,3,0,1,0,1
372,4179617,1931109,65,19,0,21,7,1
373,1436731,2053675,1414,42,0,457,5,1
374,3444076,1829215,67,47,14576,2084,30,1
375,3611509,609144,184,34,0,76,7,1
376,4273663,4271282,143,22,0,3,0,1
377,1756828,360242,1,3,0,4,0,1
378,1798860,3526566,25,25,106,103,5,1
379,783289,734210,751,136,0,17,2,1
380,1915123,969762,73,50,0,15,0,1
381,3349552,4688124,153,2,0,3,1,1
382,3496954,2535687,59,4,0,7,0,1
383,1470100,2590896,17,3,0,10,0,1
384,4587026,163208,186,23,0,56,0,1
385,1084151,,0,2,0,0,0,0
386,1911441,2422699,149,16,0,4,0,1
387,2824144,3416320,49,9,0,85,0,1
388,4218038,1201709,12450,625,0,70,29,1
389,2722672,3806279,420,57,0,8,1,1
390,1796180,4507290,54,16,212,412,3,1
391,1902882,3799358,324,38,2238,100,7,1
392,2202728,1291851,464,61,0,45,2,1
393,3566202,1820990,17401,551,0,112,70,1
394,720910,1908933,572,72,0,230,18,1
395,2622660,314520,26,164,764195,4841,3,1
396,45461,3248223,3916,256,0,70,17,1
397,655079,2507659,49,12,43,99,4,1
398,3982875,1205271,161,94,0,1,0,1
399,3319223,2828572,773,126,0,62,13,1
400,3133833,3981818,184,48,317,791,4,1
401,3664329,1774504,19283,1042,0,62,25,1
402,3543630,2320909,1195,9,0,1,0,1
403,1875478,138889,29,94,87,1267,11,1
404,3114613,855598,238,25,0,1045,8,1
405,4861785,3426789,86,8,795,2431,11,1
406,2188786,3858922,288,28,141,28,2,1
407,3654694,4227563,117,6,0,10,1,1
408,2078706,3576271,64,3,150,37,5,1
409,1259934,1648174,591,87,0,26,14,1
410,3764052,3867383,7710,662,0,115,51,1
411,4542616,3580586,1107,95,5,424,30,1
412,1330868,1754185,779,17,0,1,0,1
413,4008793,533900,472,14,0,52,3,1
414,3413270,3563991,371,3,0,2,0,1
415,1415957,1605696,80,30,0,3,1,1
416,3540485,2460955,33,41,0,28,1,1
417,3277856,3502994,2383,142,17,772,16,1
418,953657,294825,109,8,0,92,3,1
419,2385123,2831188,30,1,0,6,0,1
420,54255,1931088,131,43,0,11,4,1
421,2073897,752304,41,2,0,1,0,1
422,3297750,4469657,23,1,0,2,0,1
423,70917,4183337,46,8,0,3,0,1
424,574941,4594218,181,23,0,1,0,1
425,644229,4491397,97,4,393,23,1,1
426,948327,1036742,134,58,0,2,0,1
427,3088832,1706978,261,131,96,64,10,1
428,2139568,745285,887,146,0,13,4,1
429,3867263,4593231,170,53,0,1,0,1
430,3307201,3233466,152,26,0,1,0,1
431,4245220,4791026,621,323,0,23,17,1
432,3663577,3670389,14,4,2902,449,2,1
433,3613318,3732861,90,30,0,2,0,1
434,2005339,1976621,36,3,0,15,0,1
435,2905884,162255,65,4,0,5,0,1
436,4067839,3953911,31,6,0,1,0,1
437,2718914,2405990,24,8,57,903,5,1
438,4356518,4512672,1590,137,0,99,8,1
439,1380004,2781220,1136,93,0,101,14,1
440,2786842,4666994,83,6,0,9,0,1
441,4077896,4188593,47,254,0,170,6,1
442,3663836,826086,281,431,414420,2821,49,1
443,1341663,973745,1897,80,0,4,2,1
444,979187,892284,114,16,0,7,0,1
445,3951166,913362,67,6,0,2,0,1
446,2151290,3578822,2679,276,0,62,22,1
447,1798529,634777,56,10,0,7,0,1
448,3550888,427088,227,45,0,131,5,1
449,4804504,1284521,371,24,0,16,4,1
450,1157039,,0,2,0,0,0,0
451,321030,3301807,212,17,0,24,8,1
452,3848196,3172047,1,7,250,89,0,1
453,2493318,3327370,40,24,1998,238,7,1
454,3869650,3349082,269,180,0,24,5,1
455,3326079,1602722,663,88,0,26,6,1
456,1601150,3886026,8655,240,0,27,18,1
457,689686,3925340,81,98,0,1,0,1
458,2555159,,0,1,0,0,0,0
459,3558700,1402566,3,1,0,1,0,1
460,2138052,,0,176,0,0,0,0
461,3063349,1445150,182,71,0,40,0,1
462,2800035,1054227,1917,204,0,67,14,1
463,2537661,4475272,68,19,1,563,9,1
464,3677734,262780,253,114,0,13,7,1
465,2188442,153002,262,54,0,73,7,1
466,2472414,4131496,2451,64,0,85,7,1
467,220090,1267895,30,5,0,25,1,1
468,2088263,1282880,104,27,364,76,5,1
469,1581168,2690114,337,78,0,221,5,1
470,3053147,1887053,616,177,962,138,17,1
471,4860698,1228945,232,53,86,406,21,1
472,629151,2267431,228,28,0,2,0,1
473,1729472,2952597,193,18,423,61,6,1
474,2236708,98115,57,3,0,1,0,1
475,1891129,857473,2493,233,0,348,41,1
476,3980052,3548068,3306,665,0,38,13,1
477,2198434,1818021,58,7,0,37,1,1
478,3269419,912370,2041,107,0,91,15,1
479,2920362,1571400,78,28,82,12,7,1
480,4309844,2678516,412,44,0,65,6,1
481,2492492,989675,64,31,1334,313,9,1
482,553277,1688959,312,22,0,114,8,1
483,939565,4254120,30,2,283,207,1,1
484,1917178,4864348,25,3,0,216,0,1
485,3428750,3672031,109,14,0,1,0,1
486,3095235,1547658,149,22,442,471,6,1
487,4748191,4566471,186,110,0,7,1,1
488,1876897,2004678,189,138,0,21,17,1
489,2860494,1564075,76,2,0,1,0,1
490,1986575,2276880,1019,844,0,187,27,1
491,461997,1812245,45,8,0,386,0,1
492,4199909,3324869,78,10,113,121,1,1
493,4142252,1621424,68,4,0,21,2,1
494,4016690,1806248,881,33,0,2,0,1
495,2872065,4098380,499,14,0,420,5,1
496,404043,3344466,93,80,366,269,21,1
497,3626358,3416031,262,27,0,6,0,1
498,2318994,3536954,24,11,0,84,2,1
499,4618301,3487676,154,27,1921,2951,27,1
500,99518,4335019,64,7,0,23,0,1
501,3124779,993659,33,108,0,98,4,1
502,2804174,2367154,551,51,0,7,1,1
503,4095538,1380081,239,205,636,126,28,1
504,4401201,1144736,9,7,0,1,0,1
505,1887053,2156132,962,138,0,1173,94,1
506,1535538,2451788,16,5,0,7,1,1
507,748534,1115345,1,5,1038,32,0,1
508,2829205,3368308,151,22,0,1,0,1
509,358492,1039237,43,4,45,3,2,1
510,3302246,3480263,3108,427,0,81,15,1
511,3330891,4390076,1047,55,0,26,17,1
512,4442992,483746,38,9,0,11,0,1
513,2394387,3797869,62,32,12468,1121,18,1
514,1960613,2774491,343,6,0,2,0,1
515,3916732,4508480,31,12,0,2,0,1
516,1834604,314520,11,28,764195,4841,3,1
517,1694771,4677567,206,14,0,1,0,1
518,4198505,427512,180,22,0,309,3,1
519,3435470,1505806,135,24,315,95,1,1
520,1128911,2414816,2699,52,0,2,0,1
521,141223,3449804,17,6,43,360,0,1
522,3450430,2302678,82,2,0,24,0,1
523,379683,3456004,2027,510,262,103,43,1
524,151184,1617881,141,64,542,187,25,1
525,2648343,3563877,10974,335,0,99,38,1
526,48820,1472360,68,28,0,7,2,1
527,2022191,776634,262,44,0,30,8,1
528,717586,1385104,1899,171,0,128,48,1
529,2142478,4486380,248,72,0,1,0,1
530,4608444,2994029,110,22,179,222,36,1
531,3058432,2302163,76,10,241,2532,9,1
532,906472,1078940,11,3,21104,1820,1,1
533,3807690,2540187,137,108,0,303,17,1
534,976715,1737057,53,38,121,66,23,1
535,1581168,3149458,337,78,0,12,5,1
536,4475527,2253837,39,1,0,2,0,1
537,4109699,1713697,91,31,0,5,0,1
538,188781,,0,2,0,0,0,0
539,843514,2852382,218,169,0,29,11,1
540,4359819,2117296,90,7,89,462,2,1
541,3691864,4773298,17,6,4,79,7,1
542,732634,2791255,95,53,11757,1505,19,1
543,2975592,1808763,34,7,4,137,6,1
544,2977570,2446892,1397,157,0,51,8,1
545,1640085,2561180,175,57,0,8,4,1
546,1782577,1607975,43,11,118721,1252,5,1
547,680339,3785954,622,29,0,189,4,1
548,3703637,2841721,135,13,129,116,6,1
549,983562,4255364,107,3,0,10,1,1
550,3938713,262160,1900,161,0,20,6,1
551,415246,4109699,18,11,91,31,4,1
552,683693,2193343,481,209,1773,285,34,1
553,2078625,1471090,280,39,0,13,2,1
554,122003,4790302,7172,1193,0,88,44,1
555,1772907,3531339,1634,180,0,70,8,1
556,1782043,2301441,258,736,0,406,6,1
557,3365856,90568,379,43,159,11,0,1
558,3798281,1889840,76,61,0,14,1,1
559,3693482,2814650,3104,146,0,15,0,1
560,4435271,2580170,3814,120,0,271,95,1
561,2068607,3893576,80,24,0,7,0,1
562,4253646,3049787,270,9,127,1345,20,1
563,543897,2143139,619,91,239,814,27,1
564,2493308,3991166,42,14,31,15,10,1
565,2245433,2638596,318,317,764,155,21,1
566,3621979,4653714,52,3,0,1,0,1
567,692494,702492,46,22,0,6,0,1
568,4675832,1752797,924,67,557,389,35,1
569,3675589,3524786,10936,321,265,52,29,1
570,623910,2321169,29,24,0,152,2,1
571,4075110,566762,39,4,0,15,2,1
572,396249,2235586,1951,69,0,93,12,1
573,602641,3778643,333,16,0,17,9,1
574,4680224,3556583,73,8,0,5,0,1
575,3037338,430449,18,14,18,10,6,1
576,3664987,1443065,1,2,312,8,0,1
577,2678992,701496,908,103,0,23,1,1
578,2238150,4681312,309,27,0,4,2,1
579,2110637,1966764,70,19,751,2294,1,1
580,3015287,23922,7,2,0,1,0,1
581,2630277,661152,9552,568,0,30,12,1
582,2410026,1203420,58,21,0,11,2,1
583,3971134,2017482,960,159,0,223,8,1
584,4825657,3718505,46,86,2001,247,9,1
585,2735577,4493525,544,46,0,13,3,1
586,3219195,3554765,99,1,0,3,0,1
587,3592349,529985,2806,69,0,12,4,1
588,3368714,107714,886,101,0,72,15,1
589,3476195,2211748,95,33,206,31,0,1
590,2232980,2522070,210,14,0,2,0,1
591,323392,1734700,54,33,309,168,1,1
592,4309244,997036,267,30,0,1,0,1
593,868835,3507629,677,51,0,107,7,1
594,3753638,2725441,7468,211,31,98,6,1
595,4542616,2869008,1107,95,0,2,1,1
596,3347932,2877575,45886,951,0,5,2,1
597,3146466,2720563,57,15,0,2,1,1
598,3485613,1377714,1198,80,0,7,1,1
599,2782588,4822872,81,12,0,6,1,1
600,1616216,4069286,78,9,0,35,0,1
601,1357776,1333519,2002,43,0,8,4,1
602,3671889,,0,3,0,0,0,0
603,1214764,4153160,162,6,179,63,6,1
604,425479,2850481,197,31,0,1,0,1
605,3317949,2587371,1680,263,0,22,11,1
606,1004907,4056107,1367,130,0,7,0,1
607,3497268,3644411,1376,84,0,10,3,1
608,4382025,2188596,5678,117,0,94,21,1
609,2200435,1232376,146,25,0,598,7,1
610,4506461,3130168,3797,80,0,199,89,1
611,2724858,1936667,135,31,0,13,1,1
612,1358807,23306,207,24,0,6,1,1
613,4286173,4596075,8,42,0,22,4,1
614,4646520,352240,48,3,0,2,0,1
615,2489728,3410872,3,121,0,62,0,1
616,2659637,3978635,178,42,3646,252,16,1
617,3142701,629654,93,2,0,2,1,1
618,798747,1631931,108,136,107,463,37,1
619,4544954,2893460,423,48,0,34,10,1
620,2656873,100871,1048,24,0,14,0,1
621,1364130,923918,107,8,0,1,0,1
622,4795444,2335380,126,15,0,1,0,1
623,2788194,248745,27,3,0,16,0,1
624,2567669,1294080,217,31,0,6,5,1
625,280295,4286999,42,132,164,277,3,1
626,797361,1873000,167,12,0,1,0,1
627,4785352,2025193,67,3,0,46,2,1
628,4806381,2333099,320,64,147,58,11,1
629,2905977,3752968,44,118,0,10,0,1
630,2833987,690256,77,5,0,126,0,1
631,3298721,1000879,8,6,2455,613,7,1
632,1798860,3627705,25,25,0,6,0,1
633,2109368,2770757,53,34,98,34,11,1
634,1565376,1189415,1649,97,0,10,3,1
635,2970286,3603099,35,11,0,3,0,1
636,1231116,2606372,2823,116,0,11,0,1
637,292235,965597,26938,421,0,67,22,1
638,1575830,2690719,57,30,289,363,0,1
639,3856026,1167045,41,5,0,16,0,1
